date,open,high,low,close,adj_close,volume
2015-01-02,15.0333,15.12,14.4,14.62,13.5682,136050
2015-01-05,14.5333,14.62,14.0733,14.1267,13.1104,218700
2015-01-06,14.14,14.16,13.66,13.9,12.9,188850
2015-01-07,14.0333,14.0933,13.7933,14.0267,13.0176,198900
2015-01-08,14.0933,14.38,13.9733,14.3733,13.3393,246450
2015-01-09,14.3333,14.3333,14.1267,14.2733,13.2465,165900
2015-01-12,14.2267,14.2933,13.9933,14.2467,13.2217,216150
2015-01-13,14.3,14.66,14.2467,14.5267,13.4816,214050
2015-01-14,14.3067,14.6467,14.3067,14.54,13.494,145500
2015-01-15,14.54,14.54,14.0,14.2,13.1784,136350
2015-01-16,14.1533,14.6333,14.1533,14.62,13.5682,191850
2015-01-20,14.62,14.66,14.2733,14.4133,13.3764,169650
2015-01-21,14.3333,14.54,14.2933,14.4,13.364,131250
2015-01-22,14.5333,15.0667,14.4,15.02,13.9394,176550
2015-01-23,15.0467,15.1133,14.82,14.98,13.9023,129450
2015-01-26,15.0133,15.2333,14.9,15.1933,14.1003,116400
2015-01-27,15.02,15.26,14.8267,15.22,14.125,125850
2015-01-28,15.3067,15.3067,14.7067,14.82,13.7538,167850
2015-01-29,14.86,15.0467,14.6733,15.0333,13.9518,170100
2015-01-30,14.8733,15.0333,14.52,14.54,13.494,206700
2015-02-02,14.6267,15.06,14.5533,15.04,13.958,142800
2015-02-03,15.0067,15.58,14.9867,15.52,14.4035,380400
2015-02-04,15.4533,15.9667,15.4533,15.7267,14.5953,271350
2015-02-05,15.84,15.8533,15.5267,15.7867,14.6509,176400
2015-02-06,15.5067,15.9267,15.1667,15.4733,14.3602,321300
2015-02-09,15.3933,15.5533,15.0333,15.1067,14.0199,197700
2015-02-10,15.28,15.3067,14.9467,15.2333,14.1374,125850
2015-02-11,15.18,15.2867,15.0067,15.2667,14.1684,129900
2015-02-12,15.4,15.66,15.3867,15.6,14.4777,131100
2015-02-13,15.6,15.6667,15.4867,15.58,14.4591,130800
2015-02-17,15.56,15.6667,15.4,15.4267,14.3168,139200
2015-02-18,15.3867,15.58,15.3733,15.5,14.3849,167700
2015-02-19,15.44,15.6667,15.44,15.6267,14.5025,113850
2015-02-20,15.58,15.8267,15.46,15.8267,14.6881,146700
2015-02-23,15.8067,15.9,15.6467,15.7333,14.6014,361800
2015-02-24,15.78,15.9333,15.7533,15.9133,14.7685,182850
2015-02-25,15.9467,15.9533,15.6067,15.74,14.6076,132450
2015-02-26,15.7667,15.8667,15.62,15.7133,14.5829,259500
2015-02-27,15.8333,15.9,14.9733,15.0067,13.9271,486750
2015-03-02,14.9267,15.4533,14.82,15.38,14.2735,356400
2015-03-03,15.3,15.4267,14.8667,15.0067,13.9271,601800
2015-03-04,14.8867,15.0867,14.7267,14.86,13.7909,178350
2015-03-05,14.8533,14.9333,14.6,14.82,13.7538,129150
2015-03-06,14.66,14.86,14.46,14.6133,13.562,117450
2015-03-09,14.6267,14.7,14.5133,14.6133,13.562,94650
2015-03-10,14.4533,14.6067,14.34,14.5267,13.4816,131850
2015-03-11,14.56,14.6267,14.4,14.5867,13.5373,158250
2015-03-12,14.7,15.0067,14.6333,14.9533,13.8776,170400
2015-03-13,14.9533,14.9533,14.52,14.7667,13.7043,157200
2015-03-16,14.8933,15.0067,14.8067,14.9667,13.8899,99450
2015-03-17,14.88,14.9933,14.76,14.84,13.7724,178050
2015-03-18,14.82,15.0067,14.66,15.0067,13.9271,117150
2015-03-19,14.9333,15.0,14.7533,14.9667,13.8899,123000
2015-03-20,15.0067,15.7533,14.9267,15.62,14.4963,943050
2015-03-23,15.5467,15.76,15.4867,15.68,14.552,129600
2015-03-24,15.6667,15.7333,15.5867,15.6733,14.5458,163050
2015-03-25,15.7133,15.9267,15.5867,15.6667,14.5396,375600
2015-03-26,15.5667,15.7,15.5133,15.68,14.552,112500
2015-03-27,15.6467,15.8933,15.4067,15.84,14.7004,159300
2015-03-30,15.9467,16.5,15.9333,16.4733,15.2882,269100
2015-03-31,16.3333,16.4133,16.0533,16.3533,15.1768,248550
2015-04-01,16.22,16.32,15.8267,15.8933,14.7499,287550
2015-04-02,15.9,16.0,15.8333,15.9,14.7561,164100
2015-04-06,15.7933,16.02,15.7933,15.8733,14.7314,136050
2015-04-07,15.8667,15.98,15.6733,15.6933,14.5643,151500
2015-04-08,15.7333,15.9133,15.68,15.7867,14.6509,218550
2015-04-09,15.88,16.0,15.38,15.6467,14.521,102300
2015-04-10,15.7533,15.9667,15.7533,15.9,14.7561,86250
2015-04-13,15.9,16.2,15.7933,15.8933,14.7499,150300
2015-04-14,15.8933,16.2467,15.7733,16.12,14.9603,109650
2015-04-15,16.2133,16.56,16.1067,16.3733,15.1954,154200
2015-04-16,16.3333,16.3667,16.16,16.18,15.016,172200
2015-04-17,16.0,16.0,15.62,15.7267,14.5953,136500
2015-04-20,15.8267,16.2933,15.8,16.1467,14.985,173400
2015-04-21,16.26,16.3467,16.0733,16.24,15.0717,129900
2015-04-22,16.24,16.38,15.9667,16.3467,15.1707,104100
2015-04-23,16.2933,16.78,16.2933,16.6,15.4058,241200
2015-04-24,16.6667,16.6667,16.4067,16.44,15.2573,160650
2015-04-27,16.5133,16.74,16.1,16.3867,15.2078,234750
2015-04-28,16.4467,16.6867,16.3267,16.6333,15.4367,148500
