date,open,high,low,close,adj_close,volume
2015-01-02,7.17,7.23,6.91,7.12,6.6029,710200
2015-01-05,6.81,7.11,6.7,6.73,6.2412,1005000
2015-01-06,6.72,6.76,6.38,6.47,6.0001,1239300
2015-01-07,6.53,6.59,6.38,6.51,6.0372,687400
2015-01-08,6.55,6.77,6.51,6.67,6.1856,957300
2015-01-09,6.67,6.72,6.53,6.65,6.167,542400
2015-01-12,6.63,6.66,6.38,6.48,6.0094,746100
2015-01-13,6.51,6.64,6.36,6.42,5.9537,979300
2015-01-14,6.33,6.48,6.33,6.43,5.963,1208800
2015-01-15,6.5,6.56,6.37,6.48,6.0094,938000
2015-01-16,6.45,6.72,6.4,6.66,6.1763,981600
2015-01-20,6.71,6.75,6.59,6.64,6.1578,1136600
2015-01-21,6.6,6.82,6.57,6.78,6.2876,914900
2015-01-22,6.82,6.85,6.46,6.77,6.2783,1629200
2015-01-23,6.78,6.86,6.71,6.76,6.269,367800
2015-01-26,6.75,6.95,6.63,6.94,6.436,603600
2015-01-27,6.82,6.9,6.54,6.73,6.2412,1488100
2015-01-28,6.81,6.81,6.65,6.67,6.1856,842900
2015-01-29,6.66,6.78,6.3,6.6,6.1207,1642400
2015-01-30,6.54,6.64,6.33,6.35,5.8888,1110100
2015-02-02,6.35,6.56,6.26,6.52,6.0465,1015200
2015-02-03,6.57,6.85,6.57,6.76,6.269,863000
2015-02-04,6.71,6.85,6.68,6.75,6.2598,1009300
2015-02-05,6.8,7.13,6.69,7.08,6.5658,1377100
2015-02-06,7.12,7.26,6.97,7.1,6.5843,1100400
2015-02-09,7.08,7.14,7.0,7.05,6.538,1425100
2015-02-10,8.39,8.87,7.9,8.8,8.1609,7019300
2015-02-11,8.8,8.92,8.28,8.69,8.0589,2996600
2015-02-12,8.76,8.95,8.67,8.92,8.2722,1869000
2015-02-13,8.93,9.12,8.86,8.9,8.2536,1569800
2015-02-17,9.01,9.43,8.84,9.3,8.6246,2620800
2015-02-18,9.28,9.32,8.9,9.02,8.3649,1878300
