date,open,high,low,close,adj_close,volume
2015-01-02,107.67,108.41,106.58,107.4,95.944,394000
2015-01-05,105.82,106.09,103.65,103.79,92.7191,678700
2015-01-06,102.61,102.7,100.54,100.72,89.9765,1081300
2015-01-07,100.48,101.41,100.21,101.29,90.4857,855100
2015-01-08,101.94,104.25,101.85,103.41,92.3796,481600
2015-01-09,103.24,103.24,100.97,102.09,91.2004,440600
2015-01-12,104.45,104.54,102.6,103.45,92.4153,1115500
2015-01-13,104.1,105.32,102.86,103.45,92.4153,809200
2015-01-14,102.95,103.85,102.27,103.11,92.1116,592800
2015-01-15,101.49,102.83,101.27,101.96,91.0842,1283000
2015-01-16,101.78,103.12,101.23,103.04,92.049,633700
2015-01-20,103.11,104.1,102.78,103.81,92.7369,947000
2015-01-21,105.06,107.03,104.25,106.59,95.2204,1569100
2015-01-22,106.76,107.95,106.4,107.6,96.1226,589400
2015-01-23,106.49,106.63,105.28,105.31,94.0769,974600
2015-01-26,107.0,107.35,106.36,107.32,95.8725,995200
2015-01-27,106.93,107.34,106.12,106.33,94.9881,911900
2015-01-28,106.98,107.11,104.58,104.64,93.4784,753700
2015-01-29,106.27,106.45,104.94,106.14,94.8184,632600
2015-01-30,105.95,106.26,103.81,103.94,92.853,1073800
2015-02-02,102.98,103.21,101.48,103.05,92.058,1177900
2015-02-03,103.3,103.93,102.82,103.89,92.8084,716800
2015-02-04,102.57,102.91,101.65,101.84,90.977,789900
2015-02-05,102.56,103.26,101.63,103.1,92.1026,569900
2015-02-06,101.53,102.25,100.44,100.79,90.039,964800
2015-02-09,98.87,99.86,98.57,98.65,88.1273,798800
2015-02-10,101.3,102.37,101.07,102.1,91.2093,679400
2015-02-11,102.95,103.79,102.67,103.42,92.3885,715300
2015-02-12,103.82,104.1,103.09,104.04,92.9424,443500
2015-02-13,104.53,104.65,103.83,104.48,93.3354,359100
2015-02-17,102.51,103.33,101.97,102.97,91.9865,493700
2015-02-18,103.59,104.07,103.26,103.71,92.6476,311900
2015-02-19,103.81,105.17,103.71,104.6,93.4426,275400
2015-02-20,102.6,105.06,102.6,104.85,93.666,582500
2015-02-23,105.63,105.71,105.01,105.12,93.9072,452200
2015-02-24,108.53,110.85,107.88,110.75,98.9366,2153800
2015-02-25,109.69,109.94,108.42,108.97,97.3465,1152300
2015-02-26,107.6,108.67,107.51,107.91,96.3996,608300
2015-02-27,107.53,108.43,106.75,107.68,96.1941,686800
2015-03-02,109.26,110.27,108.99,109.93,98.2041,600500
2015-03-03,109.88,109.96,108.06,108.49,96.9177,651300
2015-03-04,108.23,108.87,107.32,108.51,96.9356,536600
2015-03-05,109.21,109.8,108.72,109.35,97.686,402500
2015-03-06,108.26,108.38,106.68,107.32,95.8725,652500
2015-03-09,107.45,108.19,107.07,107.93,96.4174,506000
2015-03-10,106.99,107.2,105.96,106.15,94.8273,626000
2015-03-11,106.72,107.98,106.31,106.68,95.3008,551100
2015-03-12,106.62,106.66,104.22,104.8,93.6213,1529800
2015-03-13,105.1,105.74,104.68,105.48,94.2288,1429100
2015-03-16,106.86,108.0,106.56,107.81,96.3102,420100
2015-03-17,106.62,107.25,106.3,106.77,95.3812,694400
2015-03-18,105.98,107.35,104.4,106.82,95.4258,1703300
2015-03-19,106.46,107.47,106.32,107.14,95.7117,641200
2015-03-20,109.38,110.68,108.72,110.16,98.4096,747800
2015-03-23,110.35,111.2,109.93,110.72,98.9098,562600
2015-03-24,111.22,111.4,110.21,110.39,98.6151,628600
2015-03-25,109.7,109.74,104.45,104.63,93.4694,1733200
2015-03-26,101.01,101.01,98.42,99.08,88.5114,4330300
2015-03-27,99.99,102.12,99.95,101.86,90.9949,1260200
2015-03-30,101.57,103.43,101.57,103.12,92.1205,990600
2015-03-31,101.47,102.22,100.97,101.03,90.2534,1224100
2015-04-01,101.12,101.12,99.55,100.34,89.637,641600
2015-04-02,101.61,102.01,100.48,100.74,89.9944,498700
2015-04-06,100.92,101.2,100.0,100.23,89.5388,916400
2015-04-07,100.93,101.86,100.12,100.17,89.4852,1161800
2015-04-08,99.8,100.18,99.2,99.97,89.3065,630400
2015-04-09,100.31,100.86,99.49,100.74,89.9944,1609700
2015-04-10,99.73,100.58,99.59,100.02,89.3512,846300
2015-04-13,100.39,100.99,99.59,99.81,89.1636,1037700
2015-04-14,100.86,100.97,99.57,99.97,89.3065,1137300
2015-04-15,100.06,100.08,95.89,96.14,85.8851,4129100
2015-04-16,94.83,96.13,94.16,95.12,84.9738,2293600
2015-04-17,94.75,95.11,93.95,94.5,84.42,1671200
2015-04-20,94.99,96.24,94.94,96.08,85.8314,1129100
2015-04-21,98.17,98.74,97.09,97.75,87.3233,2396700
2015-04-22,109.82,111.2,106.38,107.81,96.3102,4849300
2015-04-23,108.84,108.96,107.46,108.69,97.0964,1357000
2015-04-24,108.06,108.2,106.6,107.16,96.4492,1748100
2015-04-27,109.57,110.91,109.25,109.71,98.7444,4075600
2015-04-28,109.75,110.04,108.87,109.79,98.8164,1076200
2015-04-29,108.79,109.19,107.09,107.64,96.8813,2160600
2015-04-30,108.02,108.68,106.44,107.04,96.3412,1989500
2015-05-01,107.5,108.55,107.41,108.37,97.5383,637400
2015-05-04,109.47,109.47,107.76,107.89,97.1063,676900
2015-05-05,107.33,107.33,105.02,105.44,94.9011,1636800
2015-05-06,107.19,107.33,105.56,105.8,95.2252,1305500
2015-05-07,105.73,106.57,105.31,106.22,95.6032,1104600
2015-05-08,107.27,108.31,107.14,107.74,96.9713,951900
2015-05-11,107.52,108.88,107.47,108.62,97.7633,459800
2015-05-12,108.35,108.93,107.87,108.63,97.7723,483600
2015-05-13,108.89,109.31,107.9,108.58,97.7273,468900
2015-05-14,109.9,111.06,109.4,110.58,99.5274,729100
2015-05-15,111.09,111.49,110.6,111.05,99.9504,795100
2015-05-18,109.96,111.25,109.61,111.02,99.9234,554700
2015-05-19,110.97,111.74,110.58,111.22,100.1034,476500
2015-05-20,111.45,112.28,111.15,111.64,100.4815,531600
2015-05-21,111.33,111.82,111.05,111.53,100.3825,365900
2015-05-22,110.99,111.37,110.45,110.98,99.8874,253200
2015-05-26,110.38,110.52,108.4,108.97,98.0783,541400
2015-05-27,109.61,112.91,109.52,112.53,101.2825,588500
2015-05-28,113.69,114.14,112.5,113.8,102.4256,588100
2015-05-29,113.27,113.88,111.5,112.3,101.0755,542600
2015-06-01,112.19,112.35,110.41,111.63,100.4725,856200
2015-06-02,111.37,111.41,110.05,110.05,99.0504,735800
2015-06-03,112.25,112.92,111.44,111.72,100.5535,1029300
2015-06-04,112.07,113.68,110.37,110.59,99.5364,1372200
2015-06-05,109.6,110.01,108.75,109.1,98.1953,997100
2015-06-08,108.17,108.6,107.13,107.8,97.0253,803100
2015-06-09,108.52,108.68,107.25,108.25,97.4303,844100
2015-06-10,108.93,110.07,108.35,108.99,98.0963,497000
2015-06-11,111.0,111.8,109.47,110.0,99.0054,872700
2015-06-12,107.65,108.64,106.96,107.91,97.1243,583600
2015-06-15,106.48,108.54,106.19,108.38,97.5473,841800
2015-06-16,108.28,109.55,107.73,109.21,98.2943,538400
2015-06-17,107.97,108.43,107.26,107.82,97.0433,557600
2015-06-18,107.15,110.26,107.1,108.93,98.0423,1387500
2015-06-19,108.96,109.15,108.37,108.81,97.9343,479900
2015-06-22,111.97,113.0,111.3,111.91,100.7245,709000
2015-06-23,111.94,112.13,110.97,111.01,99.9144,479800
2015-06-24,110.55,111.0,109.79,109.97,98.9784,404900
2015-06-25,110.84,111.09,109.9,110.26,99.2394,395600
2015-06-26,110.65,111.14,108.19,108.78,97.9073,869400
2015-06-29,105.82,106.58,104.03,104.56,94.1091,1043600
2015-06-30,105.71,105.79,103.22,104.13,93.7221,754300
2015-07-01,107.74,107.9,105.26,105.65,95.0902,1305400
2015-07-02,105.32,105.33,103.71,104.6,94.1451,942800
2015-07-06,101.09,103.11,100.95,101.92,91.733,720300
2015-07-07,99.27,100.64,97.31,100.16,90.1489,1286700
2015-07-08,98.1,98.54,96.78,97.14,87.4308,784400
2015-07-09,101.75,102.12,99.2,99.62,89.6629,1683600
2015-07-10,103.98,104.14,101.64,102.7,92.435,2272000
2015-07-13,103.79,103.89,102.95,103.3,92.975,859000
2015-07-14,103.26,103.85,102.45,103.07,92.768,1238200
2015-07-15,106.09,108.17,105.75,106.68,96.0172,2298700
2015-07-16,104.15,104.24,99.27,100.36,90.3289,4115500
2015-07-17,101.0,101.09,99.41,100.55,90.4999,2782500
2015-07-20,102.05,102.38,100.76,101.0,90.9049,1112300
2015-07-21,101.0,101.96,100.42,100.9,90.8149,1525300
2015-07-22,100.06,101.09,99.57,100.84,90.7609,1894400
2015-07-23,101.18,102.3,100.97,101.93,91.742,897100
2015-07-24,100.88,101.06,97.45,98.53,88.6818,1994700
2015-07-27,99.49,99.94,98.33,98.63,88.7718,844600
2015-07-28,97.74,99.81,97.22,99.08,89.1768,1558700
2015-07-29,98.94,99.33,98.12,99.02,89.1229,568000
2015-07-30,97.87,99.41,97.68,99.09,89.1858,1170500
2015-07-31,100.27,100.51,98.91,99.17,89.2579,714400
2015-08-03,99.34,99.38,97.31,98.14,88.3308,817900
