date,open,high,low,close,adj_close,volume
2015-01-02,16.34,16.56,16.27,16.37,14.6195,1139600
2015-01-05,16.12,16.2,15.64,15.87,14.1729,1905800
2015-01-06,15.87,16.13,15.74,15.83,14.1372,1445300
2015-01-07,15.98,16.16,15.63,15.69,14.0122,1209200
2015-01-08,15.84,16.24,15.8,16.04,14.3247,1743900
2015-01-09,15.96,16.01,15.63,15.75,14.0658,1459000
2015-01-12,15.61,15.63,15.15,15.45,13.7978,1582000
2015-01-13,15.46,15.48,14.67,14.76,13.1816,3855700
2015-01-14,14.48,14.55,14.03,14.2,12.6815,4090200
2015-01-15,14.4,14.43,13.97,14.02,12.5208,2626300
2015-01-16,13.98,14.39,13.98,14.35,12.8155,1802700
2015-01-20,14.47,14.47,14.03,14.05,12.5475,2826200
2015-01-21,14.23,14.36,14.08,14.32,12.7887,1939200
2015-01-22,14.46,14.55,14.21,14.34,12.8065,1171500
2015-01-23,14.3,14.38,14.1,14.31,12.7797,1680300
2015-01-26,14.31,14.47,14.2,14.26,12.7351,1376400
2015-01-27,14.18,14.62,14.05,14.59,13.0298,1924500
2015-01-28,14.51,14.57,14.06,14.1,12.5922,2264000
2015-01-29,14.14,14.16,13.66,13.91,12.4225,2430000
2015-01-30,13.74,14.24,13.63,14.02,12.5208,2412000
2015-02-02,14.25,15.18,14.22,15.15,13.5299,3247500
2015-02-03,15.3,15.75,14.97,15.29,13.6549,3146400
2015-02-04,15.15,15.16,14.66,14.98,13.3781,2302300
2015-02-05,15.15,15.51,15.08,15.24,13.6103,2350000
2015-02-06,15.29,15.57,14.91,15.07,13.4585,2685800
2015-02-09,15.17,16.24,15.04,15.35,13.7085,3772700
2015-02-10,15.28,15.87,15.27,15.82,14.1283,2477600
2015-02-11,15.69,15.79,15.19,15.21,13.5835,2402000
2015-02-12,15.44,15.87,15.31,15.42,13.771,2549100
2015-02-13,15.65,15.8,15.53,15.67,13.9943,1494500
2015-02-17,15.82,16.26,15.74,16.19,14.4587,2112300
2015-02-18,16.02,16.16,15.88,15.94,14.2354,951900
2015-02-19,15.76,16.02,15.62,15.94,14.2354,842600
2015-02-20,15.92,16.05,15.49,15.68,14.0032,963400
2015-02-23,15.43,15.84,15.33,15.59,13.9229,965500
2015-02-24,15.71,15.98,15.68,15.94,14.2354,1265800
2015-02-25,16.0,16.07,15.57,15.66,13.9854,1232900
2015-02-26,15.59,15.71,15.2,15.27,13.6371,1171800
2015-02-27,15.23,15.72,15.22,15.45,13.7978,1129000
2015-03-02,15.31,15.32,14.83,15.06,13.4495,1532500
2015-03-03,15.13,15.19,14.99,14.99,13.387,1336000
2015-03-04,14.97,15.11,14.82,15.1,13.4853,1543000
2015-03-05,15.1,15.27,15.03,15.19,13.5656,1168300
2015-03-06,14.99,15.07,14.58,14.73,13.1548,1184200
2015-03-09,14.99,15.02,14.44,14.46,12.9137,1602300
2015-03-10,14.26,14.49,13.86,13.96,12.4672,2212500
2015-03-11,14.0,14.06,13.62,13.8,12.3243,2284600
2015-03-12,14.15,14.43,13.91,14.39,12.8512,1726100
2015-03-13,14.26,14.31,13.88,14.03,12.5297,1656900
2015-03-16,14.01,14.46,13.9,14.36,12.8244,1739100
2015-03-17,14.18,14.67,14.18,14.65,13.0834,1235800
2015-03-18,14.39,14.99,14.35,14.87,13.2799,1065500
2015-03-19,14.59,14.95,14.31,14.4,12.8601,1198100
2015-03-20,14.52,15.1,14.52,14.79,13.2084,1685300
2015-03-23,14.81,15.08,14.71,14.91,13.3156,2607700
2015-03-24,14.9,15.24,14.71,15.17,13.5478,1161300
2015-03-25,15.2,15.41,15.01,15.08,13.4674,912800
2015-03-26,15.16,15.36,14.79,14.83,13.2441,1225600
2015-03-27,14.86,14.87,13.98,14.0,12.5707,1932200
2015-03-30,14.01,14.15,13.92,14.03,12.5976,1818600
2015-03-31,13.82,14.02,13.76,13.93,12.5079,1538300
2015-04-01,14.08,14.22,14.03,14.16,12.7144,1373600
2015-04-02,14.46,14.8,14.39,14.73,13.2262,1984600
2015-04-06,14.9,14.99,14.73,14.77,13.2621,1085400
2015-04-07,14.9,14.9,14.64,14.67,13.1723,1277300
2015-04-08,14.8,14.96,14.5,14.52,13.0376,964700
2015-04-09,14.79,15.06,14.75,14.94,13.4147,1308800
2015-04-10,15.02,15.29,14.97,15.21,13.6572,2423000
2015-04-13,15.69,15.69,15.47,15.51,13.9265,3035100
2015-04-14,15.64,15.75,15.07,15.21,13.6572,3445600
2015-04-15,15.58,16.56,15.44,16.36,14.6898,5465500
2015-04-16,16.27,16.4,16.04,16.23,14.573,2323900
2015-04-17,16.19,16.21,15.94,16.11,14.4653,2520600
2015-04-20,16.14,16.47,16.12,16.2,14.5461,1498400
2015-04-21,16.15,16.25,15.8,15.93,14.3037,1085100
2015-04-22,16.15,17.2,16.11,16.88,15.1567,4557200
2015-04-23,16.88,17.41,16.77,17.27,15.5069,3241500
2015-04-24,17.29,17.48,17.05,17.3,15.5338,2256400
2015-04-27,17.35,17.53,17.09,17.12,15.3722,2245900
2015-04-28,17.22,17.54,17.2,17.48,15.6954,2056600
2015-04-29,17.16,17.77,16.99,17.46,15.6775,2522200
2015-04-30,17.43,17.72,17.16,17.58,15.7852,2344600
2015-05-01,17.54,17.57,17.0,17.16,15.4081,2416900
