date,open,high,low,close,adj_close,volume
2015-01-02,11.77,11.95,11.65,11.73,11.73,278500
2015-01-05,11.73,11.73,11.47,11.58,11.58,199300
2015-01-06,11.55,11.6,11.39,11.43,11.43,336300
2015-01-07,11.48,11.6,11.3,11.51,11.51,195500
2015-01-08,11.59,11.67,11.5,11.54,11.54,235200
2015-01-09,11.52,11.58,11.4,11.44,11.44,176500
2015-01-12,11.44,11.52,11.23,11.49,11.49,402500
2015-01-13,11.52,11.79,11.52,11.61,11.61,352800
2015-01-14,11.55,11.65,11.4,11.53,11.53,272900
2015-01-15,11.58,11.63,11.41,11.41,11.41,155800
2015-01-16,11.38,11.52,11.38,11.41,11.41,201900
2015-01-20,11.45,11.5,11.29,11.31,11.31,416800
2015-01-21,11.3,11.54,11.2,11.27,11.27,1166700
2015-01-22,11.22,11.35,11.13,11.29,11.29,522100
2015-01-23,11.26,11.3,11.18,11.24,11.24,198600
2015-01-26,11.24,11.36,11.2,11.23,11.23,437900
2015-01-27,11.13,11.25,11.05,11.16,11.16,628100
2015-01-28,11.15,11.16,10.82,10.85,10.85,1082900
2015-01-29,10.96,11.2,10.67,11.18,11.18,717500
2015-01-30,11.04,11.29,10.92,11.19,11.19,554900
2015-02-02,11.28,11.33,11.06,11.17,11.17,832100
2015-02-03,11.18,11.45,11.13,11.31,11.31,605500
2015-02-04,11.26,11.38,11.15,11.2,11.2,1149200
2015-02-05,11.29,11.67,11.26,11.61,11.61,820200
2015-02-06,11.68,11.84,11.55,11.63,11.63,646900
2015-02-09,11.63,11.94,11.61,11.66,11.66,491100
2015-02-10,11.74,11.8,11.65,11.71,11.71,446400
2015-02-11,11.67,11.84,11.65,11.71,11.71,204700
2015-02-12,11.87,11.94,11.8,11.88,11.88,173400
2015-02-13,11.88,12.06,11.88,11.98,11.98,179000
2015-02-17,12.0,12.09,11.93,12.02,12.02,126900
2015-02-18,11.97,12.09,11.89,11.97,11.97,131900
2015-02-19,11.84,11.94,11.81,11.87,11.87,139900
2015-02-20,11.96,12.1,11.76,11.96,11.96,135000
2015-02-23,11.94,12.07,11.83,11.99,11.99,242800
2015-02-24,11.93,12.17,11.92,12.07,12.07,161300
2015-02-25,12.05,12.12,11.91,11.93,11.93,137700
2015-02-26,11.88,12.02,11.85,11.92,11.92,110200
2015-02-27,11.94,11.94,11.74,11.78,11.78,188600
2015-03-02,11.78,12.0,11.75,11.95,11.95,284900
2015-03-03,11.93,12.02,11.8,11.82,11.82,161900
2015-03-04,11.76,11.86,11.57,11.82,11.82,226500
2015-03-05,11.82,11.92,11.67,11.71,11.71,134200
2015-03-06,11.61,11.7,11.43,11.46,11.46,191900
2015-03-09,11.45,11.68,11.45,11.63,11.63,182900
2015-03-10,11.58,11.58,11.35,11.37,11.37,158400
2015-03-11,11.34,11.67,11.34,11.65,11.65,160700
2015-03-12,11.74,11.84,11.68,11.8,11.8,133100
2015-03-13,11.77,11.77,11.53,11.65,11.65,107700
2015-03-16,11.62,11.75,11.62,11.69,11.69,204200
2015-03-17,11.57,11.57,11.4,11.51,11.51,240200
2015-03-18,11.44,11.69,11.43,11.59,11.59,164800
2015-03-19,11.49,11.62,11.39,11.4,11.4,217800
2015-03-20,11.46,11.59,11.39,11.51,11.51,189700
2015-03-23,11.54,11.57,11.4,11.46,11.46,194600
2015-03-24,11.37,11.47,11.34,11.46,11.46,214700
2015-03-25,11.52,11.52,10.99,11.04,11.04,169900
2015-03-26,11.02,11.16,10.86,11.13,11.13,219700
2015-03-27,11.11,11.2,11.07,11.12,11.12,113100
2015-03-30,11.16,11.16,11.03,11.11,11.11,234600
2015-03-31,11.08,11.16,11.03,11.11,11.11,123600
2015-04-01,11.07,11.08,10.88,11.02,11.02,248000
2015-04-02,11.05,11.24,11.02,11.17,11.17,213500
2015-04-06,11.22,11.83,11.19,11.63,11.63,303600
2015-04-07,11.66,11.71,11.52,11.57,11.57,164100
2015-04-08,11.69,11.9,11.62,11.65,11.65,158400
2015-04-09,11.61,11.67,11.55,11.56,11.56,109500
2015-04-10,11.55,11.73,11.55,11.71,11.71,103300
2015-04-13,11.71,11.75,11.57,11.6,11.6,74400
2015-04-14,11.67,11.81,11.59,11.76,11.76,112300
2015-04-15,11.81,11.87,11.71,11.81,11.81,88800
2015-04-16,11.76,11.86,11.69,11.7,11.7,74800
2015-04-17,11.67,11.67,11.36,11.4,11.4,122900
2015-04-20,11.46,11.5,11.31,11.5,11.5,146800
