date,open,high,low,close,adj_close,volume
2015-01-02,6652.7998,6868.7998,6436.7998,6825.6001,6825.6001,713
2015-01-05,6782.3999,6868.7998,6480.0,6609.6001,6609.6001,709
2015-01-06,6566.3999,6652.7998,6091.2002,6264.0,6264.0,1243
2015-01-07,6264.0,6393.6001,6091.2002,6220.7998,6220.7998,623
2015-01-08,6264.0,6393.6001,6177.6001,6350.3999,6350.3999,447
2015-01-09,6393.6001,6393.6001,6177.6001,6177.6001,6177.6001,481
2015-01-12,6134.3999,6307.2002,5875.2002,6048.0,6048.0,871
2015-01-13,6048.0,6177.6001,5745.6001,5875.2002,5875.2002,634
2015-01-14,5745.6001,5832.0,5270.3999,5400.0,5400.0,1915
2015-01-15,5572.7998,5616.0,4536.0,4752.0,4752.0,2641
2015-01-16,4924.7998,4968.0,4579.2002,4924.7998,4924.7998,1290
2015-01-20,5054.3999,5097.6001,4665.6001,4708.7998,4708.7998,1193
2015-01-21,4708.7998,4924.7998,4708.7998,4838.3999,4838.3999,718
2015-01-22,4881.6001,5011.2002,4665.6001,4838.3999,4838.3999,1484
2015-01-23,4924.7998,4924.7998,4752.0,4838.3999,4838.3999,504
2015-01-26,5011.2002,5572.7998,4968.0,5486.3999,5486.3999,1713
2015-01-27,5486.3999,5961.6001,5356.7998,5788.7998,5788.7998,1383
2015-01-28,5875.2002,5875.2002,5270.3999,5356.7998,5356.7998,1370
2015-01-29,5356.7998,5443.2002,5054.3999,5356.7998,5356.7998,701
2015-01-30,5270.3999,5443.2002,5184.0,5184.0,5184.0,512
2015-02-02,5184.0,5270.3999,4924.7998,5097.6001,5097.6001,819
2015-02-03,5140.7998,5443.2002,5140.7998,5443.2002,5443.2002,755
2015-02-04,5313.6001,5443.2002,5270.3999,5313.6001,5313.6001,354
2015-02-05,5356.7998,5443.2002,5313.6001,5400.0,5400.0,378
2015-02-06,5400.0,5486.3999,5313.6001,5356.7998,5356.7998,448
2015-02-09,5356.7998,5443.2002,5313.6001,5356.7998,5356.7998,399
2015-02-10,5400.0,5486.3999,5356.7998,5486.3999,5486.3999,639
2015-02-11,5616.0,6048.0,5616.0,5745.6001,5745.6001,1950
2015-02-12,5918.3999,6048.0,5616.0,5659.2002,5659.2002,855
2015-02-13,5875.2002,5875.2002,5529.6001,5659.2002,5659.2002,552
2015-02-17,5616.0,5659.2002,5486.3999,5572.7998,5572.7998,446
2015-02-18,5529.6001,5616.0,5486.3999,5486.3999,5486.3999,374
2015-02-19,5486.3999,5702.3999,5443.2002,5572.7998,5572.7998,532
2015-02-20,5572.7998,5788.7998,5529.6001,5745.6001,5745.6001,515
2015-02-23,5832.0,5875.2002,5659.2002,5659.2002,5659.2002,772
2015-02-24,5659.2002,5745.6001,5572.7998,5659.2002,5659.2002,502
2015-02-25,5616.0,5702.3999,5443.2002,5486.3999,5486.3999,565
2015-02-26,5400.0,5486.3999,5356.7998,5400.0,5400.0,463
2015-02-27,5400.0,5745.6001,5400.0,5659.2002,5659.2002,678
2015-03-02,5659.2002,5745.6001,5529.6001,5745.6001,5745.6001,1020
2015-03-03,5702.3999,5702.3999,5529.6001,5529.6001,5529.6001,629
2015-03-04,5529.6001,5616.0,5443.2002,5529.6001,5529.6001,523
2015-03-05,5572.7998,5745.6001,5529.6001,5702.3999,5702.3999,1391
2015-03-06,5702.3999,6264.0,5659.2002,6091.2002,6091.2002,2857
2015-03-09,6220.7998,6220.7998,5529.6001,5616.0,5616.0,1441
2015-03-10,5616.0,5702.3999,5486.3999,5529.6001,5529.6001,1142
2015-03-11,5659.2002,6004.7998,5486.3999,5659.2002,5659.2002,1188
2015-03-12,5745.6001,5745.6001,5486.3999,5529.6001,5529.6001,739
2015-03-13,5529.6001,5616.0,5313.6001,5356.7998,5356.7998,1260
2015-03-16,5400.0,5616.0,5227.2002,5529.6001,5529.6001,1323
2015-03-17,5400.0,5486.3999,5227.2002,5270.3999,5270.3999,608
2015-03-18,5356.7998,5443.2002,5270.3999,5356.7998,5356.7998,393
2015-03-19,5443.2002,5832.0,5356.7998,5659.2002,5659.2002,1239
2015-03-20,5659.2002,5788.7998,5443.2002,5616.0,5616.0,846
2015-03-23,5572.7998,5702.3999,5529.6001,5659.2002,5659.2002,420
2015-03-24,5616.0,5659.2002,5529.6001,5572.7998,5572.7998,357
2015-03-25,5572.7998,5616.0,5313.6001,5356.7998,5356.7998,1152
2015-03-26,5443.2002,5486.3999,5313.6001,5356.7998,5356.7998,576
2015-03-27,5400.0,5443.2002,5227.2002,5356.7998,5356.7998,770
2015-03-30,5356.7998,5400.0,5140.7998,5313.6001,5313.6001,1087
2015-03-31,5313.6001,5443.2002,5270.3999,5400.0,5400.0,654
2015-04-01,5313.6001,5400.0,5227.2002,5400.0,5400.0,477
2015-04-02,5400.0,5572.7998,5313.6001,5486.3999,5486.3999,987
2015-04-06,5572.7998,5832.0,5486.3999,5745.6001,5745.6001,935
2015-04-07,5832.0,5875.2002,5529.6001,5572.7998,5572.7998,539
2015-04-08,5616.0,5702.3999,5572.7998,5659.2002,5659.2002,455
2015-04-09,5616.0,5702.3999,5529.6001,5616.0,5616.0,424
2015-04-10,5659.2002,5702.3999,5486.3999,5529.6001,5529.6001,459
2015-04-13,5616.0,5659.2002,5529.6001,5529.6001,5529.6001,548
2015-04-14,5572.7998,5702.3999,5572.7998,5572.7998,5572.7998,347
2015-04-15,5616.0,5659.2002,5486.3999,5529.6001,5529.6001,502
2015-04-16,5529.6001,5572.7998,5400.0,5443.2002,5443.2002,377
2015-04-17,5529.6001,5702.3999,5486.3999,5529.6001,5529.6001,928
2015-04-20,5702.3999,5788.7998,5529.6001,5745.6001,5745.6001,2007
2015-04-21,5832.0,5832.0,5659.2002,5659.2002,5659.2002,566
2015-04-22,5702.3999,5788.7998,5529.6001,5616.0,5616.0,1377
2015-04-23,5616.0,5659.2002,5572.7998,5659.2002,5659.2002,329
2015-04-24,5659.2002,5702.3999,5616.0,5616.0,5616.0,250
2015-04-27,5616.0,5659.2002,5529.6001,5572.7998,5572.7998,388
2015-04-28,5529.6001,5616.0,5443.2002,5486.3999,5486.3999,879
2015-04-29,5443.2002,5529.6001,5400.0,5443.2002,5443.2002,392
2015-04-30,5443.2002,5486.3999,5270.3999,5313.6001,5313.6001,768
2015-05-01,5270.3999,5356.7998,5270.3999,5356.7998,5356.7998,468
2015-05-04,5356.7998,5356.7998,5270.3999,5270.3999,5270.3999,344
2015-05-05,5400.0,5659.2002,5400.0,5400.0,5400.0,886
2015-05-06,5356.7998,5443.2002,5270.3999,5356.7998,5356.7998,602
2015-05-07,5313.6001,5486.3999,5270.3999,5313.6001,5313.6001,950
2015-05-08,5313.6001,5356.7998,5227.2002,5227.2002,5227.2002,587
2015-05-11,5227.2002,5400.0,5227.2002,5356.7998,5356.7998,491
2015-05-12,5356.7998,5486.3999,5270.3999,5400.0,5400.0,765
2015-05-13,5400.0,5486.3999,5356.7998,5356.7998,5356.7998,1033
2015-05-14,5443.2002,5529.6001,5400.0,5443.2002,5443.2002,1138
2015-05-15,5443.2002,5486.3999,5270.3999,5313.6001,5313.6001,654
2015-05-18,5356.7998,5356.7998,5227.2002,5270.3999,5270.3999,472
2015-05-19,5270.3999,5313.6001,5184.0,5184.0,5184.0,498
2015-05-20,5184.0,5227.2002,5011.2002,5011.2002,5011.2002,774
2015-05-21,4968.0,5097.6001,4968.0,5097.6001,5097.6001,629
2015-05-22,5140.7998,5140.7998,5011.2002,5054.3999,5054.3999,468
2015-05-26,5011.2002,5011.2002,4838.3999,4924.7998,4924.7998,682
2015-05-27,4968.0,5184.0,4968.0,5184.0,5184.0,952
2015-05-28,5270.3999,5313.6001,5054.3999,5270.3999,5270.3999,763
2015-05-29,5313.6001,5356.7998,5227.2002,5313.6001,5313.6001,437
2015-06-01,5313.6001,5313.6001,5097.6001,5097.6001,5097.6001,449
2015-06-02,5140.7998,5400.0,5097.6001,5313.6001,5313.6001,716
2015-06-03,5356.7998,5356.7998,5184.0,5313.6001,5313.6001,507
2015-06-04,5313.6001,5356.7998,5227.2002,5270.3999,5270.3999,296
2015-06-05,5270.3999,5313.6001,5140.7998,5270.3999,5270.3999,342
