date,open,high,low,close,adj_close,volume
2015-01-02,7.987,8.019,7.884,7.945,6.7907,8306000
2015-01-05,7.927,7.939,7.822,7.848,6.7078,14408000
2015-01-06,7.856,7.873,7.64,7.717,6.5958,23414000
2015-01-07,7.729,7.843,7.705,7.757,6.63,15085000
2015-01-08,7.828,7.968,7.8,7.958,6.8018,18713000
2015-01-09,7.942,8.033,7.92,7.973,6.8146,14618000
2015-01-12,7.95,7.95,7.711,7.731,6.6078,21542000
2015-01-13,7.809,7.888,7.568,7.656,6.5436,16532000
2015-01-14,7.553,7.665,7.549,7.605,6.5001,13507000
2015-01-15,7.669,7.781,7.639,7.668,6.5539,21477000
2015-01-16,7.648,7.792,7.626,7.758,6.6308,23135000
2015-01-20,7.792,7.884,7.705,7.85,6.7095,15311000
2015-01-21,7.858,8.072,7.787,8.004,6.8411,19332000
2015-01-22,8.03,8.092,7.863,8.086,6.9112,16032000
2015-01-23,7.96,8.06,7.874,8.042,6.8736,21025000
2015-01-26,8.059,8.126,7.969,8.118,6.9385,16412000
2015-01-27,8.01,8.094,7.974,8.015,6.8505,14573000
2015-01-28,8.104,8.189,7.96,7.972,6.8137,23806000
2015-01-29,8.0,8.216,7.756,7.987,6.8266,32648000
2015-01-30,7.899,7.942,7.638,7.644,6.5334,34629000
2015-02-02,7.676,7.701,7.5,7.666,6.5522,22221000
2015-02-03,7.687,7.766,7.636,7.763,6.6351,21841000
2015-02-04,7.752,7.832,7.698,7.744,6.6189,21131000
2015-02-05,7.776,7.819,7.732,7.803,6.6693,17298000
2015-02-06,7.805,7.945,7.779,7.814,6.6787,13139000
2015-02-09,7.771,7.799,7.698,7.768,6.6394,16165000
2015-02-10,7.836,8.085,7.799,8.058,6.8872,24135000
2015-02-11,8.058,8.076,8.015,8.06,6.8889,19682000
2015-02-12,8.075,8.111,8.026,8.111,6.9325,15684000
2015-02-13,8.137,8.224,8.113,8.221,7.0266,18350000
2015-02-17,8.223,8.237,8.112,8.191,7.0009,12331000
2015-02-18,8.2,8.238,8.142,8.192,7.0018,8794000
