date,open,high,low,close,adj_close,volume
2015-01-02,22.72,22.79,21.61,21.7,21.7,1145800
2015-01-05,21.55,22.01,21.12,21.27,21.27,1080200
2015-01-06,21.4,21.45,20.23,20.7,20.7,1113400
2015-01-07,20.96,21.26,20.58,20.65,20.65,623600
2015-01-08,21.02,21.38,20.77,20.92,20.92,1119000
2015-01-09,20.75,21.1,20.43,20.65,20.65,722800
2015-01-12,20.53,20.64,18.91,19.83,19.83,1503900
2015-01-13,20.15,20.5,19.01,19.49,19.49,1219000
2015-01-14,19.08,19.25,18.45,19.12,19.12,1670600
2015-01-15,19.36,19.74,18.7,18.86,18.86,1151800
2015-01-16,18.75,18.81,18.35,18.49,18.49,2001400
2015-01-20,18.5,18.55,17.95,18.34,18.34,1511100
2015-01-21,18.31,18.91,18.29,18.77,18.77,1593200
2015-01-22,18.99,19.01,18.36,18.65,18.65,1433800
2015-01-23,18.64,19.23,18.39,19.05,19.05,1303500
2015-01-26,19.05,19.85,18.76,19.64,19.64,1032500
2015-01-27,19.19,19.71,19.07,19.54,19.54,937600
2015-01-28,19.65,19.79,18.64,18.64,18.64,1076300
2015-01-29,18.73,18.78,18.43,18.67,18.67,1359700
2015-01-30,18.43,18.76,18.13,18.52,18.52,1122100
2015-02-02,18.7,19.57,18.57,19.52,19.52,1576600
2015-02-03,19.82,20.55,19.81,20.2,20.2,1174400
2015-02-04,19.97,20.05,19.48,19.61,19.61,708600
2015-02-05,19.77,20.24,19.77,20.22,20.22,779900
2015-02-06,20.35,21.0,20.3,20.87,20.87,1162500
2015-02-09,20.79,21.09,20.54,20.71,20.71,890200
2015-02-10,20.9,20.92,19.99,20.3,20.3,747400
2015-02-11,20.12,20.3,19.59,20.02,20.02,710700
2015-02-12,20.3,20.48,20.11,20.22,20.22,397800
2015-02-13,20.28,20.81,20.28,20.75,20.75,452900
2015-02-17,20.68,20.83,20.4,20.64,20.64,588600
2015-02-18,20.5,21.36,20.5,20.74,20.74,1077100
2015-02-19,20.53,20.82,20.29,20.57,20.57,609600
2015-02-20,20.54,20.68,20.23,20.64,20.64,424900
2015-02-23,20.47,20.55,19.97,20.24,20.24,501100
2015-02-24,20.28,20.71,20.14,20.29,20.29,536100
2015-02-25,20.41,20.75,20.19,20.73,20.73,1056700
2015-02-26,20.74,20.87,20.41,20.53,20.53,716300
2015-02-27,22.0,22.75,21.46,22.07,22.07,2318000
2015-03-02,21.53,22.05,20.57,21.97,21.97,1678200
2015-03-03,21.73,21.86,21.19,21.34,21.34,998800
2015-03-04,21.3,21.34,20.58,20.98,20.98,932700
2015-03-05,21.07,21.44,20.74,21.43,21.43,450900
