date,open,high,low,close,adj_close,volume
2015-01-02,16.4833,16.6433,15.7,15.9833,11.8553,136200
2015-01-05,15.58,15.58,14.15,14.5433,10.7872,561900
2015-01-06,14.2733,14.3333,14.0333,14.22,10.5474,390000
2015-01-07,14.2767,14.2767,14.0667,14.2167,10.5449,198300
2015-01-08,14.3433,14.53,14.12,14.4667,10.7303,392400
2015-01-09,14.5233,14.8767,14.4933,14.7133,10.9133,337200
2015-01-12,14.7533,15.0367,14.5267,14.7167,10.9158,181200
2015-01-13,14.8833,14.9067,14.0833,14.4733,10.7353,232800
2015-01-14,14.2933,14.51,14.1867,14.3367,10.6339,81000
2015-01-15,14.3133,14.3133,13.57,13.67,10.1394,197700
2015-01-16,13.8667,14.13,13.6933,13.9233,10.3273,200700
2015-01-20,13.9533,14.1633,13.3633,13.67,10.1394,189900
2015-01-21,13.5767,13.7333,13.3233,13.6233,10.1048,158100
2015-01-22,13.6733,13.8767,13.3967,13.7267,10.1815,187200
2015-01-23,13.7467,13.7467,13.3467,13.5267,10.0331,162600
2015-01-26,13.3233,13.7333,13.3,13.65,10.1246,137700
2015-01-27,13.5167,13.71,13.4033,13.5767,10.0702,174300
2015-01-28,13.5633,13.6167,13.2533,13.27,9.8427,172800
2015-01-29,13.0867,13.6933,13.0167,13.6633,10.1345,222000
2015-01-30,13.5367,13.5933,12.9833,13.0033,9.6449,103500
2015-02-02,13.0967,13.6033,13.0133,13.5833,10.0751,113100
2015-02-03,13.6133,14.06,13.3267,14.0233,10.4015,354300
2015-02-04,12.9667,12.9967,12.1733,12.1933,9.0441,920700
2015-02-05,11.95,12.1833,10.7733,11.35,8.4186,837900
2015-02-06,11.3167,11.4967,11.2267,11.44,8.4854,362100
2015-02-09,11.4367,11.6833,11.3833,11.4767,8.5126,308700
2015-02-10,11.6433,11.6433,11.27,11.4633,8.5027,301200
2015-02-11,11.4033,11.5967,11.1567,11.4133,8.4656,236700
2015-02-12,11.49,11.4967,10.9667,11.0067,8.164,234300
2015-02-13,10.96,11.1667,10.9167,11.1367,8.3259,220200
2015-02-17,11.1667,11.1967,11.0333,11.1167,8.311,135900
2015-02-18,11.06,11.27,11.0333,11.2233,8.3907,191100
2015-02-19,11.1733,11.4567,11.0933,11.32,8.463,126000
2015-02-20,11.34,11.34,10.94,11.1367,8.3259,295200
2015-02-23,11.06,11.1033,10.8667,11.0833,8.2861,243300
2015-02-24,11.06,11.2467,10.9667,11.0867,8.2886,187800
2015-02-25,10.9433,11.3,10.9433,11.18,8.3583,199200
2015-02-26,11.2,11.48,11.1667,11.3933,8.5178,156000
2015-02-27,11.36,11.48,11.2233,11.2467,8.4082,276300
2015-03-02,11.1867,11.6,11.1033,11.5333,8.6225,167400
2015-03-03,11.52,11.54,11.2867,11.43,8.5452,217200
2015-03-04,11.3533,11.39,11.0867,11.1467,8.3334,228600
2015-03-05,11.19,11.19,10.81,11.0367,8.2512,1014900
2015-03-06,10.93,11.1633,10.93,11.0733,8.2786,136800
2015-03-09,11.0433,11.3067,10.9667,11.1433,8.3309,239100
2015-03-10,11.0233,11.0633,10.8267,10.8267,8.0942,162000
2015-03-11,10.8667,10.9033,10.65,10.8533,8.1141,171300
2015-03-12,10.9633,11.1567,10.8267,11.1433,8.3309,170400
2015-03-13,11.1633,11.1633,10.8033,11.02,8.2387,101700
2015-03-16,11.0433,11.0433,10.5567,10.5967,7.9222,153000
2015-03-17,10.5667,10.7633,10.5133,10.7167,8.0119,175500
2015-03-18,10.7667,11.32,10.6733,11.3167,8.4605,163200
2015-03-19,11.2433,11.2933,11.0267,11.12,8.3135,110700
2015-03-20,11.1567,11.5033,11.0767,11.4533,8.5627,276000
2015-03-23,11.4,11.8,11.32,11.6633,8.7197,106500
2015-03-24,11.6067,11.8267,11.5667,11.72,8.7621,142200
2015-03-25,11.77,11.9333,11.5,11.5733,8.6524,166800
2015-03-26,11.4933,11.6533,11.31,11.4167,8.5353,89700
2015-03-27,11.3767,11.4933,11.22,11.3767,8.5054,120300
2015-03-30,11.4233,11.5433,11.3633,11.4467,8.5577,104700
2015-03-31,11.3633,11.4233,11.2333,11.2567,8.4157,206700
2015-04-01,11.1667,11.27,10.8767,11.0033,8.2263,149100
2015-04-02,10.96,11.3767,10.96,11.2533,8.4132,106800
2015-04-06,11.21,11.5433,11.21,11.4233,8.5403,149700
2015-04-07,11.4533,11.6633,11.4067,11.5667,8.6474,213000
2015-04-08,11.5233,11.71,11.4733,11.63,8.6948,205500
2015-04-09,11.6233,11.6833,11.3267,11.4167,8.5353,136800
2015-04-10,11.4867,11.54,11.3367,11.38,8.5079,151800
2015-04-13,11.3533,11.6067,11.33,11.5233,8.615,88500
2015-04-14,11.49,11.68,11.43,11.57,8.6499,209400
2015-04-15,11.6667,11.71,11.4733,11.5067,8.6026,424800
