date,open,high,low,close,adj_close,volume
2020-10-13,121.08,121.97,120.56,121.05,116.6777,13100
2020-10-14,121.33,121.719,119.369,119.97,115.6367,37800
2020-10-15,118.03,119.28,117.789,119.107,114.8049,30600
2020-10-16,119.9,120.41,118.5,118.5,114.2199,51000
2020-10-19,119.83,119.83,116.235,116.45,112.2439,50600
2020-10-20,116.91,118.086,116.29,116.89,112.668,49800
2020-10-21,116.95,118.0,116.67,117.04,112.8126,28200
2020-10-22,117.11,117.349,115.46,116.72,112.5042,24800
2020-10-23,116.99,117.0,115.81,117.0,112.774,40600
2020-10-26,116.01,116.98,113.849,115.18,111.0198,74400
2020-10-27,115.62,116.45,115.14,116.09,111.8969,46900
2020-10-28,114.28,114.28,111.5,111.69,107.6558,138800
2020-10-29,112.16,114.669,112.001,113.51,109.4101,79600
2020-10-30,112.7,113.01,109.69,110.86,106.8558,130600
2020-11-02,111.65,112.24,109.7,110.9,106.8944,74100
2020-11-03,111.71,113.63,111.31,113.431,109.3339,61800
2020-11-04,116.45,118.552,115.97,117.79,113.5355,109700
2020-11-05,120.51,121.299,120.02,120.92,116.5524,146500
2020-11-06,120.63,121.22,119.075,121.0,116.6295,47100
2020-11-09,122.21,122.71,118.5,118.5,114.2199,154000
2020-11-10,117.15,117.68,115.351,116.317,112.1157,84200
2020-11-11,117.47,119.2,117.47,119.11,114.8078,65800
2020-11-12,119.48,119.94,118.0,118.42,114.1427,44900
2020-11-13,119.19,119.618,118.303,119.55,115.2319,39900
2020-11-16,119.46,120.491,119.03,120.07,115.7331,47000
2020-11-17,120.56,120.63,119.86,120.06,115.7235,29000
2020-11-18,119.86,120.47,119.408,119.548,115.23,35200
2020-11-19,118.97,120.13,118.81,120.13,115.791,52700
2020-11-20,120.07,120.299,119.39,119.39,115.0777,37000
2020-11-23,119.77,120.17,118.36,119.3,114.9909,50500
2020-11-24,119.8,121.11,119.075,121.04,116.6681,90900
2020-11-25,121.39,121.949,121.192,121.719,117.3226,44200
2020-11-27,122.55,123.3,122.422,122.75,118.3163,35500
2020-11-30,122.97,123.16,121.14,123.01,118.567,84000
2020-12-01,124.07,125.32,123.679,124.72,120.2152,92800
2020-12-02,124.16,124.92,123.44,124.84,120.3309,140900
2020-12-03,124.95,125.613,124.74,125.02,120.5044,93200
2020-12-04,125.05,125.53,124.78,125.45,120.9188,74300
2020-12-07,125.62,126.329,125.48,125.83,121.2851,76700
2020-12-08,126.02,126.72,125.309,126.605,122.0321,54800
2020-12-09,126.59,126.62,123.369,123.85,119.3766,148700
2020-12-10,122.95,124.67,122.441,124.26,119.7718,128300
2020-12-11,123.55,124.02,122.61,123.97,119.4923,54200
2020-12-14,124.54,125.7,124.54,124.89,120.379,184100
2020-12-15,125.89,126.23,125.0,126.23,121.6706,64300
2020-12-16,126.44,127.24,125.98,126.91,122.3261,84900
2020-12-17,127.62,127.787,127.1,127.76,123.1454,57900
2020-12-18,128.11,128.11,126.37,127.43,122.8273,84300
2020-12-21,126.12,127.07,124.79,126.89,122.5048,85100
2020-12-22,127.25,127.66,126.29,127.24,122.8427,59000
2020-12-23,127.5,127.5,126.61,126.66,122.2828,69000
2020-12-24,126.96,127.37,126.769,127.19,122.7945,32000
2020-12-28,128.43,128.659,127.57,128.48,124.0399,59200
2020-12-29,129.08,129.29,128.254,128.63,124.1847,66600
2020-12-30,129.36,129.36,128.34,128.53,124.0882,89900
2020-12-31,128.78,129.003,128.195,128.91,124.4551,73500
2021-01-04,129.6,129.6,125.45,127.08,122.6883,160800
2021-01-05,126.76,128.17,126.76,128.095,123.6682,66600
2021-01-06,126.37,128.08,125.76,126.33,121.9642,469300
2021-01-07,127.58,129.734,127.58,129.46,124.986,97100
2021-01-08,130.52,131.2,129.5,131.14,126.6079,78400
2021-01-11,129.99,130.31,128.962,129.18,124.7157,69500
2021-01-12,129.29,129.63,127.95,129.14,124.6771,122100
2021-01-13,129.0,130.15,128.92,129.84,125.3529,56600
2021-01-14,130.27,130.416,129.0,129.14,124.6771,90000
2021-01-15,128.83,129.5,127.71,128.1,123.673,102700
2021-01-19,129.2,130.18,128.797,130.03,125.5363,82300
2021-01-20,131.69,133.41,131.45,133.07,128.4713,120500
2021-01-21,133.7,134.372,133.05,134.15,129.514,159700
2021-01-22,133.61,134.13,133.49,133.78,129.1568,124900
2021-01-25,135.31,135.68,132.25,134.63,129.9774,155200
2021-01-26,135.26,135.362,134.47,135.04,130.3732,75600
2021-01-27,134.24,134.24,130.5,131.45,126.9073,148600
2021-01-28,131.91,134.06,131.618,132.08,127.5155,88600
2021-01-29,131.51,131.65,128.59,129.37,124.8991,119300
2021-02-01,130.91,132.88,129.97,132.54,127.9596,131300
2021-02-02,133.82,135.04,133.75,134.715,130.0594,111600
2021-02-03,135.7,135.7,134.22,134.22,129.5815,93100
2021-02-04,134.87,135.67,134.17,135.65,130.9621,76200
2021-02-05,136.26,136.575,135.48,136.19,131.4835,182400
2021-02-08,137.0,137.119,136.2,137.04,132.3041,105200
2021-02-09,136.84,137.56,136.84,137.01,132.2751,101700
2021-02-10,137.65,137.72,135.5,136.67,131.9468,104500
2021-02-11,137.57,137.64,136.5,137.439,132.6893,136200
2021-02-12,137.03,138.29,136.75,138.29,133.5109,87100
2021-02-16,138.74,138.93,137.438,137.91,133.144,106500
2021-02-17,136.77,137.26,135.7,137.23,132.4875,105000
