date,open,high,low,close,adj_close,volume
2015-01-02,8.3317,8.365,8.2433,8.2933,6.8916,7078800
2015-01-05,8.255,8.2567,8.1333,8.1517,6.7738,8119800
2015-01-06,8.1683,8.1817,8.03,8.0717,6.7074,6274800
2015-01-07,8.14,8.1767,8.1133,8.1667,6.7863,4079400
2015-01-08,8.2417,8.3183,8.2267,8.3117,6.9068,6558600
2015-01-09,8.3233,8.3233,8.2167,8.245,6.8514,3588600
2015-01-12,8.2567,8.2633,8.155,8.1817,6.7988,3004800
2015-01-13,8.25,8.3,8.0983,8.1667,6.7863,3244200
2015-01-14,8.07,8.1267,8.0283,8.12,6.7475,4012800
2015-01-15,8.1483,8.1633,8.035,8.0367,6.6783,2620800
2015-01-16,8.0267,8.15,8.0217,8.1433,6.7669,2948400
2015-01-20,8.1683,8.185,8.0817,8.155,6.7766,2478600
2015-01-21,8.1383,8.2167,8.1133,8.1933,6.8085,2023800
2015-01-22,8.2383,8.325,8.1667,8.3183,6.9123,3673800
2015-01-23,8.3117,8.3233,8.2767,8.2817,6.8819,2586600
2015-01-26,8.2683,8.3167,8.24,8.3133,6.9082,2399400
2015-01-27,8.22,8.2683,8.1733,8.22,6.8306,3454200
2015-01-28,8.2733,8.2733,8.0983,8.11,6.7392,6381000
2015-01-29,8.1183,8.19,8.055,8.1767,6.7946,2853000
2015-01-30,8.1233,8.18,8.0633,8.0733,6.7087,4271400
2015-02-02,8.1033,8.17,8.01,8.165,6.7849,5130600
2015-02-03,8.2117,8.29,8.2,8.2867,6.886,3829800
2015-02-04,8.2517,8.31,8.2417,8.2583,6.8625,3646800
2015-02-05,8.2967,8.3517,8.2917,8.3467,6.9359,2810400
2015-02-06,8.3667,8.3917,8.3,8.32,6.9137,3798600
2015-02-09,8.2983,8.325,8.2667,8.285,6.8846,3547800
2015-02-10,8.3367,8.3783,8.29,8.3683,6.9539,2382600
2015-02-11,8.3617,8.3933,8.3267,8.3717,6.9567,3015600
2015-02-12,8.405,8.4567,8.4,8.455,7.0259,2383200
2015-02-13,8.4633,8.495,8.4517,8.495,7.0591,5163600
2015-02-17,8.4867,8.515,8.4683,8.505,7.0675,3492600
2015-02-18,8.4917,8.5133,8.4767,8.5083,7.0702,2407200
2015-02-19,8.4917,8.5233,8.48,8.5083,7.0702,1726200
2015-02-20,8.495,8.56,8.4583,8.5567,7.1104,3693000
2015-02-23,8.55,8.555,8.5267,8.5533,7.1076,2647800
2015-02-24,8.56,8.5833,8.5417,8.5767,7.127,2394000
2015-02-25,8.575,8.5983,8.5583,8.5733,7.1242,2008200
2015-02-26,8.5733,8.5783,8.5383,8.5683,7.1201,2046000
2015-02-27,8.5567,8.5717,8.535,8.535,7.0924,2592600
2015-03-02,8.5433,8.5917,8.54,8.59,7.1381,2613000
2015-03-03,8.5717,8.5717,8.52,8.5567,7.1104,3210600
2015-03-04,8.5317,8.5333,8.48,8.5217,7.0813,2682000
2015-03-05,8.54,8.5467,8.5083,8.5317,7.0896,2752800
2015-03-06,8.4983,8.5117,8.4017,8.415,6.9927,3532200
2015-03-09,8.43,8.4617,8.4217,8.445,7.0176,2144400
2015-03-10,8.3733,8.3817,8.3183,8.32,6.9137,4495200
2015-03-11,8.34,8.34,8.3,8.3117,6.9068,5572800
2015-03-12,8.3417,8.4167,8.3417,8.415,6.9927,2848800
2015-03-13,8.4033,8.4083,8.3133,8.37,6.9553,3593400
2015-03-16,8.3983,8.475,8.3983,8.475,7.0425,3068400
2015-03-17,8.4417,8.47,8.4133,8.455,7.0259,3545400
2015-03-18,8.4367,8.5833,8.4083,8.5517,7.1062,5689800
2015-03-19,8.525,8.5483,8.5033,8.5217,7.0813,2534400
2015-03-20,8.5583,8.6133,8.5517,8.5933,7.1409,3195600
2015-03-23,8.5667,8.58,8.5467,8.5467,7.1325,1792200
2015-03-24,8.54,8.5567,8.4967,8.4983,7.0922,1789800
2015-03-25,8.5,8.5183,8.3667,8.37,6.9851,3031200
2015-03-26,8.3383,8.39,8.3033,8.3483,6.967,4557600
2015-03-27,8.34,8.3817,8.335,8.3683,6.9837,2176200
2015-03-30,8.4267,8.4883,8.4267,8.4767,7.0741,4286400
2015-03-31,8.4317,8.4717,8.4067,8.4133,7.0212,2495400
2015-04-01,8.41,8.41,8.335,8.385,6.9976,5061000
2015-04-02,8.3867,8.4367,8.3817,8.4133,7.0212,2438400
2015-04-06,8.3767,8.4917,8.3667,8.4667,7.0657,2645400
2015-04-07,8.4767,8.5017,8.4433,8.4433,7.0463,1874400
2015-04-08,8.4617,8.49,8.4383,8.4717,7.0699,1993800
2015-04-09,8.4717,8.5117,8.4367,8.5033,7.0963,2395800
2015-04-10,8.5267,8.5467,8.5117,8.545,7.1311,2245200
2015-04-13,8.54,8.57,8.5117,8.5117,7.1033,2599200
2015-04-14,8.5067,8.5333,8.4717,8.5233,7.113,8891400
2015-04-15,8.5567,8.5883,8.5467,8.5683,7.1506,2628000
2015-04-16,8.555,8.5867,8.54,8.565,7.1478,3007800
2015-04-17,8.5017,8.5233,8.4283,8.4633,7.063,4677600
2015-04-20,8.515,8.55,8.51,8.5367,7.1242,2485800
2015-04-21,8.5633,8.575,8.5183,8.5317,7.12,2456400
2015-04-22,8.54,8.575,8.5,8.5667,7.1492,2261400
2015-04-23,8.5533,8.6217,8.5517,8.595,7.1728,2301000
2015-04-24,8.6067,8.615,8.5883,8.605,7.1812,1709400
2015-04-27,8.625,8.64,8.5517,8.5633,7.1464,2258400
2015-04-28,8.5617,8.59,8.5,8.5833,7.1631,1834800
2015-04-29,8.5467,8.575,8.51,8.55,7.1353,2205600
2015-04-30,8.515,8.5367,8.4233,8.4567,7.0574,4096800
2015-05-01,8.4933,8.54,8.4833,8.5383,7.1256,2441400
2015-05-04,8.5617,8.5933,8.5583,8.565,7.1478,1734600
2015-05-05,8.555,8.565,8.4533,8.4633,7.063,2634000
2015-05-06,8.4933,8.5033,8.3833,8.435,7.0393,2704800
2015-05-07,8.4233,8.4883,8.4133,8.47,7.0685,2363400
2015-05-08,8.545,8.5833,8.5417,8.57,7.152,2177400
2015-05-11,8.5717,8.585,8.5333,8.54,7.1269,1321200
2015-05-12,8.5,8.5367,8.455,8.515,7.1061,2168400
2015-05-13,8.5333,8.5617,8.505,8.515,7.1061,1059000
2015-05-14,8.5567,8.6033,8.5483,8.5983,7.1756,2013000
2015-05-15,8.6083,8.6133,8.585,8.61,7.1854,2428800
2015-05-18,8.6067,8.6567,8.6017,8.645,7.2146,1613400
2015-05-19,8.6533,8.6617,8.6267,8.6417,7.2118,1322400
2015-05-20,8.6517,8.6717,8.62,8.6383,7.209,1608600
2015-05-21,8.6283,8.6683,8.625,8.6567,7.2243,1203000
2015-05-22,8.6467,8.66,8.635,8.64,7.2104,1556400
2015-05-26,8.62,8.6217,8.5317,8.5533,7.1381,2800200
2015-05-27,8.575,8.6383,8.555,8.6283,7.2007,2408400
2015-05-28,8.6183,8.6233,8.5867,8.6183,7.1923,1804200
2015-05-29,8.61,8.61,8.5533,8.5683,7.1506,1792200
2015-06-01,8.5917,8.6133,8.545,8.585,7.1645,2356200
2015-06-02,8.565,8.6117,8.5367,8.5783,7.1589,1593000
2015-06-03,8.6167,8.635,8.58,8.6083,7.184,2056200
2015-06-04,8.58,8.6,8.52,8.5383,7.1256,2565000
2015-06-05,8.535,8.5533,8.4883,8.5317,7.12,2484600
2015-06-08,8.5283,8.5317,8.475,8.4783,7.0755,2922000
2015-06-09,8.4817,8.4967,8.4417,8.4733,7.0713,2283000
2015-06-10,8.505,8.5883,8.505,8.5733,7.1548,3672600
2015-06-11,8.5983,8.6167,8.5833,8.5983,7.1756,2067600
2015-06-12,8.5667,8.5683,8.5283,8.54,7.1269,1657800
2015-06-15,8.4983,8.5183,8.4517,8.505,7.0977,2438400
2015-06-16,8.4933,8.5567,8.4917,8.5517,7.1367,1660200
2015-06-17,8.575,8.59,8.525,8.5633,7.1464,1345200
