date,open,high,low,close,adj_close,volume
2015-01-02,13.31,13.3533,13.21,13.27,9.0789,1418700
2015-01-05,13.22,13.2333,13.07,13.0833,8.9512,12067500
2015-01-06,13.1033,13.1733,12.9467,13.0033,8.8964,1611300
2015-01-07,13.12,13.17,13.0667,13.1567,9.0013,3470700
2015-01-08,13.2733,13.4067,13.25,13.4,9.1678,3114600
2015-01-09,13.4167,13.4233,13.2533,13.2967,9.0971,3722400
2015-01-12,13.2933,13.32,13.18,13.2233,9.047,5879700
2015-01-13,13.3267,13.4033,13.1067,13.1933,9.0264,3306000
2015-01-14,13.0567,13.1467,13.0033,13.13,8.9831,2773200
2015-01-15,13.1833,13.2033,13.07,13.08,8.9489,1326600
2015-01-16,13.0733,13.27,13.0633,13.2567,9.0698,1408200
2015-01-20,13.31,13.31,13.1533,13.27,9.0789,1407900
2015-01-21,13.2433,13.3433,13.2,13.3267,9.1177,1538400
2015-01-22,13.39,13.4833,13.26,13.4833,9.2248,6761100
2015-01-23,13.46,13.46,13.31,13.3133,9.1085,9584400
2015-01-26,13.2933,13.3367,13.22,13.3267,9.1177,2996400
2015-01-27,13.1633,13.2033,13.06,13.1233,8.9785,2307600
2015-01-28,13.2133,13.2133,12.9333,12.9533,8.8622,1332900
2015-01-29,12.9867,13.1,12.8733,13.08,8.9489,1101000
2015-01-30,12.9867,13.0233,12.85,12.87,8.8052,1307700
2015-02-02,12.9033,13.0567,12.7933,13.05,8.9284,1476000
2015-02-03,13.1167,13.2533,13.1133,13.2533,9.0675,31112400
2015-02-04,13.2133,13.3,13.1933,13.22,9.0447,1279800
2015-02-05,13.3,13.3567,13.28,13.35,9.1336,909900
2015-02-06,13.3833,13.41,13.3,13.3333,9.1222,1463700
2015-02-09,13.3067,13.34,13.24,13.27,9.0789,997800
2015-02-10,13.37,13.4233,13.2933,13.4067,9.1724,939000
2015-02-11,13.4033,13.4333,13.34,13.4067,9.1724,655500
2015-02-12,13.4767,13.52,13.4433,13.5133,9.2454,1089300
2015-02-13,13.5367,13.5633,13.5067,13.5633,9.2796,1054800
2015-02-17,13.5367,13.57,13.4867,13.5567,9.275,992100
2015-02-18,13.53,13.5433,13.49,13.5267,9.2545,1130400
2015-02-19,13.4867,13.5333,13.46,13.5033,9.2385,993000
2015-02-20,13.4733,13.5533,13.41,13.55,9.2705,1122300
2015-02-23,13.5467,13.5467,13.4867,13.5233,9.2522,711600
2015-02-24,13.5367,13.5967,13.51,13.59,9.2978,901500
2015-02-25,13.59,13.5967,13.5533,13.59,9.2978,633600
2015-02-26,13.5733,13.5867,13.53,13.5667,9.2819,518700
2015-02-27,13.5733,13.5767,13.5367,13.5433,9.2659,737100
2015-03-02,13.5333,13.61,13.5267,13.6067,9.3092,1890900
2015-03-03,13.5533,13.58,13.4933,13.5367,9.2613,1325400
2015-03-04,13.5133,13.5133,13.42,13.4633,9.2112,1137300
2015-03-05,13.4867,13.4867,13.4267,13.46,9.2089,700800
2015-03-06,13.39,13.39,13.2167,13.2467,9.0629,1821000
2015-03-09,13.27,13.3267,13.2533,13.3,9.0994,1166400
2015-03-10,13.1833,13.2267,13.0933,13.1,8.9626,2026800
2015-03-11,13.1433,13.1433,13.0533,13.06,8.9352,1144800
2015-03-12,13.0733,13.1733,13.0733,13.1733,9.0127,798000
2015-03-13,13.1567,13.1567,13.01,13.11,8.9694,1005000
2015-03-16,13.1533,13.2633,13.1533,13.26,9.072,7826400
2015-03-17,13.2133,13.2233,13.1433,13.1933,9.0264,14977500
2015-03-18,13.1533,13.39,13.0767,13.34,9.1268,4384500
2015-03-19,13.31,13.31,13.2367,13.2567,9.0698,5974200
2015-03-20,13.3167,13.42,13.2833,13.39,9.161,1352400
2015-03-23,13.3167,13.3767,13.3,13.3167,9.1725,1242000
2015-03-24,13.32,13.3333,13.2267,13.23,9.1128,936000
2015-03-25,13.2433,13.26,13.0467,13.0533,8.9911,1635300
2015-03-26,13.0133,13.0833,12.9567,13.03,8.975,1730100
2015-03-27,13.01,13.09,12.9967,13.0767,9.0072,1152300
2015-03-30,13.1667,13.2567,13.14,13.2333,9.1151,1424400
2015-03-31,13.18,13.2267,13.13,13.1367,9.0485,1196100
2015-04-01,13.13,13.1433,13.01,13.0633,8.998,971700
2015-04-02,13.0767,13.1433,13.0533,13.0867,9.014,21366900
2015-04-06,13.0533,13.2433,13.0367,13.19,9.0852,1761000
2015-04-07,13.2067,13.26,13.1833,13.1867,9.0829,1292700
2015-04-08,13.22,13.24,13.1333,13.1867,9.0829,954300
2015-04-09,13.1833,13.26,13.1467,13.2367,9.1174,1701600
2015-04-10,13.26,13.3233,13.2433,13.2933,9.1564,768600
2015-04-13,13.2967,13.3167,13.2233,13.2267,9.1105,894300
2015-04-14,13.2267,13.29,13.1933,13.2667,9.138,2211600
2015-04-15,13.33,13.3733,13.3167,13.34,9.1885,1568400
2015-04-16,13.2967,13.3633,13.2867,13.3167,9.1725,1743000
2015-04-17,13.26,13.26,13.1167,13.1733,9.0737,1428000
2015-04-20,13.2467,13.3467,13.24,13.3133,9.1702,930900
2015-04-21,13.34,13.3733,13.26,13.2867,9.1518,1396500
2015-04-22,13.3267,13.35,13.2467,13.3433,9.1908,1429500
2015-04-23,13.29,13.38,13.2833,13.3433,9.1908,859200
2015-04-24,13.37,13.39,13.3167,13.38,9.2161,1008600
2015-04-27,13.3967,13.4133,13.3333,13.3433,9.1908,1343100
2015-04-28,13.33,13.4067,13.2933,13.4067,9.2345,974700
2015-04-29,13.34,13.3733,13.2833,13.3433,9.1908,913800
2015-04-30,13.3267,13.33,13.19,13.2367,9.1174,849000
2015-05-01,13.3067,13.36,13.28,13.3533,9.1977,1065300
2015-05-04,13.38,13.42,13.3633,13.3667,9.2069,1556700
2015-05-05,13.3467,13.3767,13.23,13.2467,9.1243,1094100
2015-05-06,13.2833,13.31,13.1267,13.1933,9.0875,1198200
2015-05-07,13.19,13.27,13.1667,13.2333,9.1151,792300
2015-05-08,13.35,13.4233,13.3467,13.4033,9.2322,1182600
2015-05-11,13.4067,13.41,13.3367,13.3433,9.1908,1010700
2015-05-12,13.2967,13.34,13.22,13.3033,9.1633,1111500
2015-05-13,13.3233,13.3933,13.3,13.3167,9.1725,752100
2015-05-14,13.3767,13.4633,13.3733,13.46,9.2712,838200
2015-05-15,13.4667,13.4833,13.44,13.4833,9.2873,638100
2015-05-18,13.4733,13.4867,13.44,13.4767,9.2827,756000
2015-05-19,13.4867,13.4867,13.42,13.4433,9.2597,804000
2015-05-20,13.4533,13.4967,13.4367,13.4433,9.2597,586500
2015-05-21,13.44,13.48,13.4233,13.4633,9.2735,698100
2015-05-22,13.4367,13.4367,13.3933,13.3967,9.2276,691800
2015-05-26,13.37,13.37,13.24,13.28,9.1472,1339200
2015-05-27,13.3167,13.3867,13.28,13.37,9.2092,863700
2015-05-28,13.3467,13.3767,13.3233,13.36,9.2023,779400
2015-05-29,13.3633,13.3633,13.2767,13.3033,9.1633,1922100
2015-06-01,13.34,13.3467,13.2533,13.2933,9.1564,1334400
2015-06-02,13.25,13.3167,13.2133,13.2767,9.1449,1134300
2015-06-03,13.2933,13.3467,13.26,13.2733,9.1426,717900
2015-06-04,13.2333,13.2667,13.13,13.1467,9.0554,1589400
2015-06-05,13.1233,13.1367,13.0567,13.07,9.0026,1333500
2015-06-08,13.05,13.06,13.0033,13.0133,8.9635,1441500
2015-06-09,13.0133,13.06,12.99,13.02,8.9681,810300
2015-06-10,13.0767,13.2033,13.0767,13.16,9.0646,863400
2015-06-11,13.1867,13.2333,13.1833,13.2,9.0921,958500
2015-06-12,13.16,13.16,13.07,13.0933,9.0186,691500
2015-06-15,13.03,13.0433,12.96,13.01,8.9612,1439100
2015-06-16,12.9967,13.0933,12.99,13.0833,9.0117,915900
2015-06-17,13.1067,13.16,13.05,13.1267,9.0416,879900
2015-06-18,13.17,13.3033,13.17,13.2567,9.1311,1349700
2015-06-19,13.2467,13.2567,13.19,13.19,9.0852,928800
2015-06-22,13.1733,13.2233,13.1567,13.1767,9.1468,1011300
2015-06-23,13.1967,13.2033,13.1267,13.1533,9.1306,971100
2015-06-24,13.1367,13.1467,13.0567,13.0567,9.0635,789300
2015-06-25,13.1033,13.11,13.0167,13.0167,9.0357,731100
2015-06-26,13.0167,13.06,12.98,13.0133,9.0334,968400
2015-06-29,12.88,12.9533,12.7667,12.7733,8.8668,2833500
2015-06-30,12.8633,12.8633,12.7333,12.7633,8.8598,2148600
2015-07-01,12.8633,12.8633,12.79,12.85,8.92,1420500
2015-07-02,12.8633,12.8933,12.8167,12.8467,8.9177,574500
2015-07-06,12.7533,12.8533,12.7333,12.8,8.8853,1472700
2015-07-07,12.8033,12.9333,12.69,12.9267,8.9732,854100
2015-07-08,12.8467,12.85,12.74,12.76,8.8575,1242900
2015-07-09,12.9,12.9333,12.76,12.76,8.8575,1186200
2015-07-10,12.8833,12.9233,12.8467,12.89,8.9478,1137900
2015-07-13,12.9733,13.0367,12.9,13.03,9.045,832800
2015-07-14,13.0233,13.0733,13.01,13.0633,9.0681,745200
2015-07-15,13.0533,13.0667,13.0,13.0233,9.0403,854400
2015-07-16,13.0833,13.1067,13.0733,13.1067,9.0982,1020600
2015-07-17,13.0667,13.0667,13.02,13.0467,9.0565,1078800
2015-07-20,13.06,13.0667,13.0167,13.04,9.0519,1172400
2015-07-21,13.0033,13.01,12.9167,12.9433,8.9848,1298400
2015-07-22,12.9067,12.94,12.8567,12.8833,8.9431,949500
2015-07-23,12.8933,12.9,12.8067,12.8267,8.9038,1011300
2015-07-24,12.82,12.83,12.6767,12.6867,8.8066,1982100
2015-07-27,12.6533,12.6633,12.5833,12.6333,8.7696,1756200
2015-07-28,12.6967,12.83,12.6533,12.8167,8.8969,3994200
2015-07-29,12.82,12.93,12.8133,12.91,8.9617,984000
2015-07-30,12.86,12.9133,12.8233,12.9,8.9547,1560300
2015-07-31,12.9167,12.9167,12.8433,12.8533,8.9223,1140000
2015-08-03,12.85,12.85,12.75,12.81,8.8922,1690200
2015-08-04,12.83,12.8533,12.77,12.8067,8.8899,1553100
2015-08-05,12.8833,12.93,12.8533,12.8667,8.9316,851700
2015-08-06,12.8767,12.8767,12.7667,12.79,8.8784,1076400
2015-08-07,12.7667,12.77,12.6933,12.7333,8.839,1078800
2015-08-10,12.8067,12.9033,12.8067,12.8967,8.9524,1051800
2015-08-11,12.7867,12.83,12.7533,12.81,8.8922,1195500
2015-08-12,12.73,12.87,12.6667,12.85,8.92,1049100
2015-08-13,12.85,12.87,12.7967,12.81,8.8922,577500
2015-08-14,12.8167,12.8567,12.7833,12.8567,8.9246,689400
2015-08-17,12.8233,12.8967,12.7567,12.8967,8.9524,583800
2015-08-18,12.8633,12.8933,12.8367,12.8533,8.9223,615300
2015-08-19,12.8133,12.83,12.6733,12.7333,8.839,1568700
2015-08-20,12.6633,12.6833,12.55,12.5533,8.7141,1571100
2015-08-21,12.43,12.4933,12.1967,12.1967,8.4665,5421900
2015-08-24,11.53,12.0733,10.5833,11.7433,8.1518,9033000
2015-08-25,12.1667,12.1667,11.5433,11.5433,8.013,3863100
2015-08-26,11.7733,11.98,11.6167,11.9633,8.3045,2282100
2015-08-27,12.1167,12.24,11.98,12.2233,8.485,2796600
2015-08-28,12.1733,12.2633,12.17,12.2367,8.4943,1799700
2015-08-31,12.1767,12.2333,12.0967,12.17,8.448,1026300
2015-09-01,11.9367,11.9733,11.7833,11.8367,8.2166,2147700
2015-09-02,12.0,12.0433,11.9033,12.0433,8.36,1947300
2015-09-03,12.11,12.2133,12.0567,12.09,8.3924,996900
2015-09-04,11.9533,11.9667,11.84,11.8967,8.2582,1412400
2015-09-08,12.08,12.19,12.0567,12.1867,8.4595,1529100
2015-09-09,12.29,12.2967,11.9733,11.9967,8.3277,1248000
2015-09-10,11.9867,12.1133,11.9467,12.0333,8.3531,1265400
2015-09-11,12.0,12.0833,11.9633,12.0833,8.3878,1098000
2015-09-14,12.0733,12.0733,11.9967,12.0233,8.3462,1190100
2015-09-15,12.06,12.22,12.06,12.19,8.4619,868500
2015-09-16,12.2167,12.31,12.2,12.3,8.5382,816900
2015-09-17,12.2833,12.47,12.27,12.2967,8.5359,1323300
2015-09-18,12.1367,12.23,12.0667,12.1,8.3994,1227900
2015-09-21,12.07,12.13,12.0,12.07,8.4481,1845900
2015-09-22,11.9233,11.9667,11.8767,11.9467,8.3618,1369200
2015-09-23,11.9667,11.9767,11.8767,11.9167,8.3408,682500
2015-09-24,11.8267,11.9467,11.7667,11.9133,8.3385,2028900
2015-09-25,12.0167,12.0533,11.8933,11.9467,8.3618,814800
