date,open,high,low,close,adj_close,volume
2015-01-02,14.47,14.49,14.355,14.4,10.4973,2196800
2015-01-05,14.235,14.25,14.035,14.08,10.2641,2791000
2015-01-06,14.07,14.105,13.87,13.925,10.1511,2036800
2015-01-07,14.01,14.085,13.925,14.055,10.2458,1364000
2015-01-08,14.12,14.285,14.12,14.24,10.3807,1636000
2015-01-09,14.25,14.255,14.11,14.175,10.3333,3716800
2015-01-12,14.19,14.19,14.06,14.12,10.2932,4088400
2015-01-13,14.305,14.315,14.08,14.195,10.3479,1759600
2015-01-14,14.135,14.175,14.025,14.145,10.3114,2407200
2015-01-15,14.315,14.33,14.2,14.205,10.3552,1822600
2015-01-16,14.235,14.4,14.21,14.38,10.4828,1118000
2015-01-20,14.505,14.525,14.365,14.425,10.5156,2052400
2015-01-21,14.445,14.535,14.42,14.53,10.5921,987200
2015-01-22,14.505,14.63,14.46,14.59,10.6358,1786600
2015-01-23,14.58,14.6,14.505,14.505,10.5739,1452600
2015-01-26,14.61,14.715,14.575,14.68,10.7015,1444000
2015-01-27,14.64,14.745,14.63,14.705,10.7197,1505400
2015-01-28,14.73,14.735,14.48,14.49,10.5629,1656800
2015-01-29,14.585,14.67,14.53,14.665,10.6905,1492200
2015-01-30,14.535,14.585,14.45,14.465,10.5447,1688600
2015-02-02,14.57,14.68,14.51,14.655,10.6832,1731400
2015-02-03,14.74,14.9,14.735,14.87,10.84,1760800
2015-02-04,14.79,14.855,14.74,14.75,10.7525,1303800
2015-02-05,14.855,14.945,14.825,14.935,10.8873,2002600
2015-02-06,14.84,14.86,14.705,14.745,10.7488,1365800
2015-02-09,14.675,14.75,14.665,14.685,10.7051,2635400
2015-02-10,14.79,14.81,14.705,14.79,10.7816,2308000
2015-02-11,14.71,14.755,14.655,14.73,10.7379,1417400
2015-02-12,14.82,14.955,14.82,14.95,10.8983,778000
2015-02-13,15.04,15.05,15.0,15.05,10.9712,1386800
2015-02-17,15.065,15.12,15.0,15.1,11.0076,1106000
2015-02-18,15.14,15.205,15.1,15.17,11.0587,977800
2015-02-19,15.17,15.215,15.135,15.165,11.055,1602800
2015-02-20,15.14,15.345,15.1,15.315,11.1644,1482400
2015-02-23,15.26,15.26,15.21,15.245,11.1133,1250600
2015-02-24,15.255,15.36,15.21,15.335,11.1789,2091400
2015-02-25,15.335,15.375,15.305,15.355,11.1935,1072400
