date,open,high,low,close,adj_close,volume
2015-01-02,6.4988,6.5188,6.4225,6.4563,5.9345,5301600
2015-01-05,6.4138,6.4225,6.3313,6.345,5.8323,2344000
2015-01-06,6.3538,6.3663,6.24,6.2838,5.776,2659200
2015-01-07,6.335,6.3725,6.325,6.3663,5.8518,1316800
2015-01-08,6.4225,6.49,6.4225,6.4875,5.9633,2015200
2015-01-09,6.505,6.5113,6.4125,6.4375,5.9173,1408800
2015-01-12,6.445,6.445,6.36,6.3762,5.861,1157600
2015-01-13,6.4375,6.4725,6.3225,6.3725,5.8576,1305600
2015-01-14,6.305,6.3475,6.2712,6.3375,5.8254,1341600
2015-01-15,6.3575,6.3688,6.2663,6.2688,5.7622,972800
2015-01-16,6.26,6.3525,6.2537,6.35,5.8369,1752000
2015-01-20,6.38,6.39,6.315,6.3775,5.8622,1789600
2015-01-21,6.3663,6.4412,6.3538,6.4163,5.8978,1539200
2015-01-22,6.4575,6.5262,6.3938,6.5188,5.992,1324800
2015-01-23,6.5138,6.5413,6.5,6.51,5.9839,1158400
2015-01-26,6.505,6.5375,6.4862,6.535,6.0069,1843200
2015-01-27,6.4713,6.5,6.4225,6.455,5.9334,1669600
2015-01-28,6.5075,6.5125,6.385,6.39,5.8736,1736800
2015-01-29,6.4037,6.4587,6.35,6.45,5.9288,1936800
2015-01-30,6.4138,6.4763,6.3812,6.3888,5.8725,1026400
2015-02-02,6.4062,6.4525,6.3275,6.4475,5.9265,1752000
2015-02-03,6.4763,6.5388,6.4625,6.5363,6.0081,2480000
2015-02-04,6.5075,6.5625,6.5025,6.5237,5.9966,1258400
2015-02-05,6.5425,6.5988,6.5425,6.5963,6.0632,1126400
2015-02-06,6.6112,6.6238,6.5525,6.5675,6.0368,1453600
2015-02-09,6.5525,6.57,6.5275,6.5425,6.0138,2502400
2015-02-10,6.58,6.625,6.5538,6.62,6.0851,898400
2015-02-11,6.6137,6.6525,6.605,6.6388,6.1023,2695200
2015-02-12,6.6638,6.7013,6.6525,6.7,6.1586,1340800
2015-02-13,6.7125,6.735,6.6988,6.735,6.1908,1521600
2015-02-17,6.74,6.755,6.7188,6.7463,6.2011,2148800
2015-02-18,6.735,6.7625,6.7337,6.7625,6.216,945600
2015-02-19,6.7463,6.7825,6.7463,6.77,6.2229,1424800
2015-02-20,6.76,6.82,6.74,6.82,6.2689,929600
2015-02-23,6.8212,6.825,6.8025,6.8225,6.2712,1021600
2015-02-24,6.8288,6.8387,6.805,6.8337,6.2815,2000800
2015-02-25,6.8362,6.8612,6.825,6.8387,6.2861,1140000
2015-02-26,6.845,6.845,6.8125,6.8375,6.285,1280000
2015-02-27,6.8375,6.8412,6.805,6.8075,6.2574,1651200
2015-03-02,6.8362,6.8637,6.8162,6.8637,6.3091,5080000
2015-03-03,6.8463,6.8463,6.8,6.8362,6.2838,1654400
2015-03-04,6.82,6.82,6.7712,6.81,6.2597,2081600
2015-03-05,6.8275,6.835,6.8038,6.8288,6.2769,982400
2015-03-06,6.8113,6.82,6.7275,6.7413,6.1965,2528800
2015-03-09,6.7463,6.7762,6.7413,6.765,6.2183,1229600
2015-03-10,6.71,6.7162,6.6537,6.655,6.1172,2041600
2015-03-11,6.655,6.6687,6.6312,6.6363,6.1,1719200
2015-03-12,6.6613,6.7275,6.6613,6.7225,6.1793,1000800
2015-03-13,6.7162,6.73,6.645,6.685,6.1448,1615200
2015-03-16,6.72,6.7787,6.7112,6.7787,6.231,1295200
2015-03-17,6.7575,6.7825,6.7387,6.765,6.2183,3822400
2015-03-18,6.7525,6.8663,6.7225,6.8438,6.2907,3776000
2015-03-19,6.8263,6.8513,6.8187,6.8362,6.2838,1112000
2015-03-20,6.875,6.9088,6.8713,6.8888,6.3321,1405600
2015-03-23,6.8775,6.8787,6.845,6.8463,6.3078,1512800
2015-03-24,6.845,6.865,6.8175,6.8187,6.2825,1013600
2015-03-25,6.8288,6.8313,6.6988,6.7013,6.1742,3133600
2015-03-26,6.665,6.7213,6.65,6.6912,6.165,1770400
2015-03-27,6.685,6.7188,6.685,6.7112,6.1834,1218400
2015-03-30,6.7587,6.7962,6.7587,6.7888,6.2548,4432000
