date,open,high,low,close,adj_close,volume
2015-01-02,27.33,27.58,27.035,27.245,24.2927,3612000
2015-01-05,27.155,27.18,26.745,26.76,23.8603,5594600
2015-01-06,26.72,26.72,26.035,26.13,23.2985,12135800
2015-01-07,26.255,26.575,26.19,26.47,23.6017,8044600
2015-01-08,26.805,27.21,26.69,27.13,24.1902,6162000
2015-01-09,27.2,27.235,26.735,27.05,24.1189,3346600
2015-01-12,27.01,27.06,26.54,26.705,23.8112,6240800
2015-01-13,26.755,27.245,26.415,26.555,23.6775,7038800
2015-01-14,26.35,26.665,26.19,26.455,23.5883,7464200
2015-01-15,26.8,27.015,26.53,26.6,23.7176,7772800
2015-01-16,26.435,26.85,26.275,26.815,23.9093,7306000
2015-01-20,26.895,27.16,26.745,27.08,24.1456,5092000
2015-01-21,27.045,27.495,26.96,27.43,24.4577,5385000
2015-01-22,27.39,27.675,26.965,27.675,24.6761,6108000
2015-01-23,27.565,27.77,27.495,27.555,24.5691,3743000
2015-01-26,27.51,27.595,27.29,27.56,24.5736,3602400
2015-01-27,27.17,27.27,26.815,27.01,24.0832,10021800
2015-01-28,27.35,27.47,26.775,26.78,23.8781,7021000
2015-01-29,26.86,27.06,26.45,26.93,24.0119,6044600
2015-01-30,26.73,26.935,26.325,26.365,23.5081,7182600
2015-02-02,26.37,26.49,25.92,26.415,23.5527,13757400
2015-02-03,26.62,26.825,26.445,26.79,23.887,6067600
2015-02-04,26.78,27.16,26.78,26.98,24.0564,7655800
2015-02-05,27.155,27.25,26.925,27.25,24.2972,5047200
2015-02-06,27.25,27.42,26.9,26.96,24.0386,5105800
2015-02-09,26.865,26.865,26.465,26.605,23.7221,5815400
2015-02-10,27.08,27.49,26.915,27.48,24.5023,7357600
2015-02-11,27.495,27.725,27.4,27.64,24.6449,5740400
2015-02-12,27.75,28.03,27.74,28.03,24.9927,5937400
2015-02-13,28.065,28.25,27.93,28.195,25.1398,5912200
2015-02-17,28.145,28.325,28.07,28.315,25.2468,3562600
2015-02-18,28.295,28.31,28.11,28.22,25.1621,5212800
2015-02-19,28.145,28.31,28.085,28.235,25.1754,4734000
2015-02-20,28.25,28.385,28.07,28.365,25.2914,4190800
2015-02-23,28.315,28.345,28.08,28.16,25.1086,2701400
2015-02-24,28.18,28.745,28.075,28.74,25.6257,5209600
2015-02-25,28.665,28.715,28.48,28.545,25.4519,3616600
2015-02-26,28.57,28.755,28.52,28.65,25.5455,4028800
2015-02-27,28.64,28.69,28.465,28.485,25.3984,7039000
2015-03-02,28.725,29.235,28.725,29.235,26.0671,9773800
2015-03-03,29.075,29.135,28.7,28.755,25.6391,9878000
2015-03-04,28.755,28.755,28.42,28.71,25.599,4061800
2015-03-05,28.86,28.88,28.58,28.7,25.5901,2515600
2015-03-06,28.555,28.63,28.275,28.34,25.2691,3590600
2015-03-09,28.305,28.37,28.125,28.24,25.1799,3771200
2015-03-10,28.01,28.06,27.66,27.665,24.6672,9557800
2015-03-11,27.855,28.15,27.855,27.87,24.85,7273200
2015-03-12,27.395,27.795,27.395,27.715,24.7118,9198600
2015-03-13,27.685,27.955,27.585,27.945,24.9169,6343000
2015-03-16,28.01,28.345,28.01,28.315,25.2468,5882000
2015-03-17,28.095,28.165,27.945,28.125,25.0774,2674200
2015-03-18,28.075,28.53,27.77,28.385,25.3092,10024200
2015-03-19,28.355,28.48,28.33,28.42,25.3404,4733200
2015-03-20,28.575,28.94,28.575,28.87,25.7416,6201400
2015-03-23,28.805,28.915,28.615,28.615,25.5143,5507200
2015-03-24,28.58,28.66,28.355,28.355,25.2824,5225800
2015-03-25,28.365,28.365,26.985,27.03,24.101,20870600
2015-03-26,26.48,27.06,26.31,26.835,23.9272,23673400
2015-03-27,26.795,27.865,26.755,27.695,24.694,15603400
2015-03-30,27.775,28.065,27.615,27.93,24.9035,10097400
2015-03-31,27.805,27.975,27.635,27.65,24.6538,5471600
2015-04-01,27.675,27.675,27.28,27.38,24.4131,6369800
2015-04-02,27.515,27.705,27.425,27.455,24.48,5737000
2015-04-06,27.12,27.59,27.05,27.525,24.5424,6550400
2015-04-07,27.51,27.78,27.49,27.54,24.5558,3759000
2015-04-08,27.445,27.75,27.435,27.675,24.6761,3848800
2015-04-09,27.44,27.975,27.44,27.95,24.9213,5220800
2015-04-10,27.915,28.115,27.915,28.115,25.0685,3024400
2015-04-13,28.125,28.225,27.9,27.92,24.8946,6005200
2015-04-14,27.935,27.96,27.545,27.665,24.6672,5845200
2015-04-15,27.84,28.28,27.84,28.18,25.1264,6375200
2015-04-16,27.865,28.13,27.865,28.055,25.015,10816800
2015-04-17,27.795,27.835,27.56,27.695,24.694,5640800
2015-04-20,27.845,28.045,27.845,27.925,24.899,3556400
2015-04-21,28.2,28.32,27.995,28.105,25.0595,4024800
2015-04-22,28.305,28.615,28.135,28.615,25.5143,4985800
2015-04-23,28.095,28.44,28.085,28.32,25.2512,5246400
2015-04-24,28.395,28.485,27.92,28.02,24.9837,8055600
2015-04-27,28.06,28.525,28.015,28.245,25.1844,27557800
2015-04-28,28.215,28.24,27.83,28.225,25.1665,6500800
2015-04-29,28.025,28.12,27.765,28.02,24.9837,8033200
2015-04-30,27.925,28.035,27.59,27.73,24.7252,6352200
2015-05-01,27.98,28.53,27.975,28.52,25.4296,8296000
2015-05-04,28.55,28.59,28.315,28.365,25.2914,5460400
2015-05-05,28.21,28.275,27.81,27.825,24.8099,12282200
2015-05-06,27.965,28.065,27.63,27.82,24.8054,8962200
2015-05-07,27.89,28.115,27.87,28.02,24.9837,6930200
2015-05-08,28.22,28.405,28.2,28.285,25.22,8114400
2015-05-11,28.265,28.365,28.17,28.275,25.2111,6724400
2015-05-12,28.18,28.205,27.91,28.06,25.0194,6319400
2015-05-13,28.13,28.405,28.12,28.2,25.1442,4333200
2015-05-14,28.36,28.61,28.275,28.49,25.4028,8296400
2015-05-15,28.59,28.65,28.395,28.53,25.4385,6632000
2015-05-18,28.6,28.79,28.465,28.78,25.6614,3563400
2015-05-19,28.9,28.98,28.615,28.73,25.6168,4022400
2015-05-20,28.715,29.0,28.66,28.815,25.6926,3047400
2015-05-21,28.795,28.92,28.595,28.87,25.7416,2819400
2015-05-22,28.845,28.995,28.845,28.895,25.7639,1732400
2015-05-26,28.85,28.85,28.545,28.665,25.5589,4396800
2015-05-27,28.81,29.825,28.735,29.735,26.5129,15446400
2015-05-28,29.71,29.885,29.565,29.775,26.5486,13910600
2015-05-29,29.815,29.995,29.745,29.905,26.6645,11821400
2015-06-01,29.985,30.065,29.64,29.8,26.5709,7304000
2015-06-02,29.655,29.765,29.365,29.375,26.1919,5703400
2015-06-03,29.565,29.57,29.145,29.17,26.0091,3508400
2015-06-04,29.075,29.15,28.74,28.825,25.7015,6571200
2015-06-05,28.76,28.855,28.555,28.74,25.6257,3332600
2015-06-08,28.745,28.75,28.165,28.225,25.1665,8659600
2015-06-09,28.25,28.36,28.025,28.255,25.1933,7530200
2015-06-10,28.415,28.79,28.4,28.685,25.5767,5838200
2015-06-11,28.84,28.895,28.69,28.72,25.6079,3451400
2015-06-12,28.585,28.655,28.44,28.475,25.3894,3000800
2015-06-15,28.195,28.43,28.07,28.395,25.3181,5048600
2015-06-16,28.29,28.59,28.23,28.52,25.4296,3259600
2015-06-17,28.52,28.68,28.44,28.545,25.4519,2815200
2015-06-18,28.64,29.055,28.635,28.95,25.813,4358000
2015-06-19,29.025,29.045,28.71,28.845,25.7193,5700200
2015-06-22,29.06,29.125,28.93,29.095,25.9423,4815000
2015-06-23,29.145,29.205,28.865,28.955,25.8174,3083400
2015-06-24,28.96,29.01,28.71,28.73,25.6168,4513800
2015-06-25,28.94,28.995,28.73,28.795,25.6748,2351400
2015-06-26,28.51,28.51,27.775,27.955,24.9258,20158600
2015-06-29,27.59,27.75,27.12,27.155,24.2125,14581800
2015-06-30,27.425,27.51,27.15,27.285,24.3284,9920600
2015-07-01,27.555,27.74,27.305,27.39,24.422,7093600
2015-07-02,27.495,27.66,27.365,27.56,24.5736,7262600
2015-07-06,27.285,27.515,26.995,27.115,24.1768,9861600
2015-07-07,26.95,27.045,26.22,26.98,24.0564,15372200
2015-07-08,26.715,26.715,26.195,26.275,23.4278,19992600
2015-07-09,26.79,26.815,25.935,25.98,23.1648,13330600
2015-07-10,26.235,26.535,26.235,26.45,23.5839,12053600
2015-07-13,26.61,26.74,26.24,26.68,23.7889,8819000
2015-07-14,26.805,26.96,26.765,26.895,23.9807,10953600
2015-07-15,26.945,26.985,26.64,26.76,23.8603,8059800
2015-07-16,26.91,26.91,26.45,26.745,23.8469,12379600
2015-07-17,26.74,26.765,26.47,26.73,23.8335,7441800
2015-07-20,26.755,26.815,26.505,26.515,23.6418,4809800
2015-07-21,26.51,26.73,26.455,26.495,23.624,5674200
2015-07-22,25.76,26.235,25.61,25.85,23.0489,17806200
2015-07-23,26.02,26.51,26.0,26.21,23.3699,10110600
2015-07-24,26.275,26.3,25.59,25.605,22.8304,7354400
2015-07-27,25.44,25.67,25.215,25.505,22.7413,9295400
2015-07-28,25.595,26.2,25.445,26.035,23.2138,14212600
2015-07-29,26.085,26.2,25.855,26.14,23.3075,7922000
2015-07-30,26.15,26.455,26.07,26.38,23.5215,7605200
2015-07-31,26.365,26.375,26.015,26.075,23.2495,4326000
2015-08-03,26.03,26.05,25.805,25.95,23.1381,5694800
2015-08-04,25.885,25.935,25.51,25.675,22.8928,7697200
2015-08-05,26.115,26.175,25.695,25.985,23.1693,6238200
2015-08-06,26.0,26.0,25.45,25.685,22.9018,8453800
2015-08-07,25.595,25.78,25.505,25.75,22.9597,5166200
2015-08-10,25.9,26.475,25.885,26.4,23.5393,9107600
2015-08-11,26.0,26.085,25.695,25.8,23.0043,5672400
2015-08-12,25.47,25.965,25.245,25.865,23.0623,6472000
2015-08-13,25.79,25.875,25.505,25.51,22.7457,3232400
2015-08-14,25.395,25.46,25.165,25.325,22.5808,4578800
2015-08-17,25.205,25.535,25.02,25.52,22.7546,6324000
2015-08-18,25.47,25.505,25.025,25.07,22.3534,10867600
2015-08-19,25.11,25.13,24.655,24.815,22.126,15532000
2015-08-20,24.61,24.62,24.0,24.005,21.4038,10792600
2015-08-21,23.72,24.06,23.345,23.395,20.8599,21142200
2015-08-24,21.765,23.985,21.765,23.025,20.53,19834000
2015-08-25,23.485,24.025,22.83,22.83,20.3561,12624200
2015-08-26,23.285,23.91,23.075,23.875,21.2879,9502600
2015-08-27,24.19,24.725,24.19,24.67,21.9968,11120600
2015-08-28,24.64,24.945,24.565,24.88,22.184,9824600
2015-08-31,24.77,25.06,24.57,24.775,22.0904,5967800
2015-09-01,24.28,24.51,23.845,24.005,21.4038,13667000
2015-09-02,24.485,24.615,24.22,24.6,21.9343,8109600
2015-09-03,24.815,25.13,24.75,24.845,22.1528,5681400
2015-09-04,24.58,24.685,24.325,24.455,21.805,6818400
2015-09-08,25.045,25.415,24.99,25.385,22.6343,10223200
2015-09-09,25.615,25.875,24.93,25.0,22.291,13549200
2015-09-10,24.945,25.325,24.685,25.08,22.3623,10696200
2015-09-11,24.855,25.16,24.8,25.125,22.4024,7115600
2015-09-14,25.27,25.325,25.075,25.185,22.4559,2958200
2015-09-15,25.405,25.66,25.32,25.555,22.7859,7775600
2015-09-16,25.625,25.695,25.4,25.67,22.8884,2446200
2015-09-17,25.67,25.94,25.475,25.505,22.7413,5659600
2015-09-18,25.075,25.41,24.98,25.075,22.3579,8768000
2015-09-21,25.25,25.285,24.91,25.06,22.3445,5692200
2015-09-22,24.56,24.73,24.435,24.54,21.8808,10660600
2015-09-23,24.57,24.66,24.335,24.365,21.7248,3530400
2015-09-24,24.11,24.48,23.77,24.355,21.7159,7770200
2015-09-25,24.71,24.82,24.295,24.485,21.8318,4268400
2015-09-28,24.405,24.515,23.94,23.965,21.3681,6083400
2015-09-29,23.96,24.295,23.84,24.13,21.5153,8143600
2015-09-30,24.6,25.01,24.525,24.94,22.2375,6315200
2015-10-01,25.015,25.015,24.38,24.775,22.0904,5670000
2015-10-02,24.47,25.18,24.445,25.165,22.4381,7659600
2015-10-05,25.425,25.765,25.305,25.61,22.8349,7922400
2015-10-06,25.59,25.805,25.335,25.715,22.9285,11149000
2015-10-07,25.99,26.25,25.705,26.1,23.2718,9412200
2015-10-08,26.12,26.435,25.91,26.435,23.5705,5992400
2015-10-09,26.305,26.39,26.01,26.13,23.2985,4006200
2015-10-12,26.255,26.255,26.075,26.17,23.3342,2566600
2015-10-13,25.965,26.12,25.84,25.85,23.0489,6764400
2015-10-14,25.83,26.84,25.745,26.625,23.7399,23660200
2015-10-15,26.805,26.97,26.615,26.805,23.9004,9743400
2015-10-16,26.84,26.94,26.685,26.915,23.9985,4762400
2015-10-19,26.93,27.06,26.77,26.935,24.0163,5340800
2015-10-20,26.9,27.005,26.775,26.88,23.9673,6586800
2015-10-21,27.19,27.36,26.925,26.93,24.0119,6060600
2015-10-22,27.325,27.835,27.325,27.75,24.743,9127400
