date,open,high,low,close,adj_close,volume
2015-01-02,6.45,6.45,6.25,6.41,6.41,43400
2015-01-05,6.35,6.35,6.13,6.14,6.14,62600
2015-01-06,6.14,6.25,6.02,6.13,6.13,41900
2015-01-07,6.11,6.15,6.0,6.11,6.11,26600
2015-01-08,6.18,6.18,6.0,6.14,6.14,41400
2015-01-09,6.13,6.13,6.05,6.05,6.05,27800
2015-01-12,6.07,6.19,5.89,6.02,6.02,29500
2015-01-13,6.09,6.09,5.94,6.07,6.07,46900
2015-01-14,5.98,6.05,5.96,6.04,6.04,27000
2015-01-15,6.03,6.17,5.82,5.83,5.83,33800
2015-01-16,5.8,5.9,5.67,5.85,5.85,25900
2015-01-20,5.84,6.02,5.57,5.58,5.58,18300
2015-01-21,5.55,5.68,5.51,5.53,5.53,30800
2015-01-22,5.58,5.61,5.44,5.54,5.54,66900
2015-01-23,5.54,5.57,5.47,5.51,5.51,58900
2015-01-26,5.51,5.56,5.49,5.52,5.52,30200
2015-01-27,5.26,5.26,3.92,3.97,3.97,809700
2015-01-28,4.0,4.03,3.81,3.88,3.88,324500
2015-01-29,3.91,3.92,3.67,3.74,3.74,152100
2015-01-30,3.74,3.79,3.44,3.47,3.47,120800
2015-02-02,3.47,3.51,3.17,3.22,3.22,243800
2015-02-03,3.26,3.34,3.2,3.32,3.32,235100
2015-02-04,3.34,3.37,3.17,3.21,3.21,130100
2015-02-05,3.22,3.33,3.15,3.23,3.23,177100
2015-02-06,3.23,3.34,3.17,3.25,3.25,170200
2015-02-09,3.26,3.29,3.2,3.21,3.21,129700
2015-02-10,3.21,3.21,2.97,2.99,2.99,215500
2015-02-11,3.01,3.05,2.95,2.99,2.99,423000
2015-02-12,3.04,3.04,2.98,2.99,2.99,130100
2015-02-13,3.01,3.08,2.97,2.99,2.99,279500
2015-02-17,3.07,3.07,2.99,3.0,3.0,244100
2015-02-18,3.01,3.15,2.97,3.06,3.06,298100
2015-02-19,3.04,3.12,2.98,3.0,3.0,170300
2015-02-20,3.02,3.06,2.97,2.99,2.99,163300
2015-02-23,3.0,3.01,2.85,2.86,2.86,248900
2015-02-24,2.88,2.98,2.86,2.88,2.88,111700
2015-02-25,2.88,2.94,2.88,2.88,2.88,179500
2015-02-26,2.89,2.92,2.72,2.74,2.74,152800
2015-02-27,2.73,2.8,2.73,2.76,2.76,249900
2015-03-02,2.75,2.79,2.73,2.77,2.77,112300
2015-03-03,2.76,2.79,2.73,2.73,2.73,93600
2015-03-04,2.73,2.73,2.45,2.46,2.46,294200
2015-03-05,2.45,2.51,2.39,2.41,2.41,181500
2015-03-06,2.41,2.61,2.23,2.58,2.58,542000
2015-03-09,2.6,3.27,2.6,3.22,3.22,1292100
2015-03-10,3.32,3.35,3.0,3.01,3.01,511100
2015-03-11,3.0,3.08,2.9,2.97,2.97,311600
2015-03-12,3.02,3.14,2.89,3.13,3.13,350400
2015-03-13,3.19,3.19,2.96,3.0,3.0,415800
2015-03-16,3.03,3.95,3.03,3.91,3.91,1236700
2015-03-17,3.9,4.21,3.71,4.06,4.06,969600
2015-03-18,4.06,4.44,3.94,4.42,4.42,473900
2015-03-19,4.41,4.5,4.2,4.34,4.34,248200
2015-03-20,4.4,4.5,4.37,4.46,4.46,220300
2015-03-23,4.45,4.51,4.4,4.41,4.41,228500
2015-03-24,4.41,4.63,4.35,4.53,4.53,292700
2015-03-25,4.58,4.59,4.4,4.51,4.51,305500
2015-03-26,4.52,4.57,4.44,4.5,4.5,102100
2015-03-27,4.53,4.57,4.44,4.56,4.56,118000
2015-03-30,4.6,4.76,4.55,4.67,4.67,87500
2015-03-31,4.61,4.65,4.47,4.52,4.52,138900
2015-04-01,4.54,4.64,4.5,4.6,4.6,69300
2015-04-02,4.62,4.84,4.62,4.8,4.8,80700
2015-04-06,4.73,4.89,4.73,4.78,4.78,53500
2015-04-07,4.78,4.86,4.65,4.76,4.76,110600
2015-04-08,4.73,4.91,4.68,4.75,4.75,81800
2015-04-09,4.78,4.78,4.6,4.63,4.63,104700
2015-04-10,4.7,4.73,4.46,4.5,4.5,140600
2015-04-13,4.49,4.71,4.46,4.65,4.65,207400
2015-04-14,4.65,4.66,4.47,4.48,4.48,89700
2015-04-15,4.49,4.69,4.47,4.6,4.6,121900
2015-04-16,4.61,4.61,4.42,4.46,4.46,102700
2015-04-17,4.45,4.45,3.88,4.2,4.2,240300
2015-04-20,4.2,4.41,4.12,4.2,4.2,76800
2015-04-21,4.23,4.25,4.17,4.17,4.17,116300
2015-04-22,4.16,4.52,4.15,4.39,4.39,120600
2015-04-23,4.35,4.41,4.31,4.4,4.4,57400
2015-04-24,4.38,4.4,4.31,4.38,4.38,55600
2015-04-27,4.4,4.47,4.36,4.42,4.42,108800
2015-04-28,4.45,4.55,4.39,4.45,4.45,182300
2015-04-29,4.45,4.63,4.39,4.4,4.4,134500
2015-04-30,4.45,4.72,4.34,4.39,4.39,210600
2015-05-01,4.4,4.49,4.12,4.15,4.15,97300
2015-05-04,4.13,4.22,4.02,4.06,4.06,111300
2015-05-05,4.05,4.16,4.05,4.11,4.11,118600
2015-05-06,4.17,4.2,4.02,4.17,4.17,61400
2015-05-07,4.2,4.2,4.03,4.05,4.05,66000
2015-05-08,4.1,4.16,4.0,4.12,4.12,65800
2015-05-11,3.99,4.1,3.31,3.31,3.31,396700
2015-05-12,3.34,3.38,3.05,3.26,3.26,238800
2015-05-13,3.24,3.4,3.24,3.36,3.36,121900
2015-05-14,3.32,3.57,3.32,3.54,3.54,251900
2015-05-15,3.52,3.86,3.38,3.6,3.6,144400
2015-05-18,3.62,3.74,3.37,3.55,3.55,109800
2015-05-19,3.57,3.74,3.39,3.55,3.55,118100
2015-05-20,3.48,3.63,3.39,3.48,3.48,112900
2015-05-21,3.49,3.58,3.41,3.52,3.52,130300
2015-05-22,3.53,3.75,3.49,3.68,3.68,140000
2015-05-26,3.65,3.74,3.48,3.71,3.71,127800
2015-05-27,3.7,3.74,3.55,3.71,3.71,99600
2015-05-28,3.85,4.42,3.75,4.3,4.3,461400
2015-05-29,4.27,4.4,3.95,3.96,3.96,210000
2015-06-01,3.95,4.17,3.8,3.95,3.95,613600
2015-06-02,3.95,4.09,3.82,3.9,3.9,108300
2015-06-03,3.85,4.1,3.85,4.07,4.07,88700
2015-06-04,4.06,4.16,3.88,3.91,3.91,46700
2015-06-05,3.92,3.98,3.74,3.89,3.89,69600
2015-06-08,3.86,3.95,3.75,3.77,3.77,51600
2015-06-09,3.77,3.84,3.71,3.75,3.75,60600
2015-06-10,3.79,3.85,3.69,3.76,3.76,74700
2015-06-11,3.75,3.91,3.71,3.78,3.78,109000
2015-06-12,3.75,3.8,3.73,3.79,3.79,112900
2015-06-15,3.82,3.84,3.71,3.77,3.77,63200
2015-06-16,3.79,3.84,3.68,3.73,3.73,56500
2015-06-17,3.72,3.72,3.62,3.67,3.67,66000
2015-06-18,3.7,3.81,3.7,3.75,3.75,86900
2015-06-19,3.73,3.8,3.71,3.75,3.75,66200
2015-06-22,3.75,3.85,3.7,3.76,3.76,149400
2015-06-23,3.75,3.96,3.74,3.96,3.96,83900
2015-06-24,3.96,4.08,3.76,3.8,3.8,173800
2015-06-25,3.82,3.91,3.75,3.85,3.85,128100
2015-06-26,3.89,4.16,3.75,4.02,4.02,2713900
2015-06-29,4.05,4.23,4.01,4.02,4.02,174100
2015-06-30,4.04,4.09,3.97,4.0,4.0,138700
2015-07-01,4.24,4.43,4.04,4.11,4.11,265700
2015-07-02,4.12,4.23,4.12,4.15,4.15,65800
2015-07-06,4.1,4.21,3.91,3.96,3.96,142100
2015-07-07,3.93,4.01,3.7,3.72,3.72,104000
2015-07-08,3.71,3.96,3.51,3.82,3.82,166700
2015-07-09,3.86,4.02,3.84,3.99,3.99,194400
2015-07-10,4.09,4.09,3.94,3.95,3.95,143300
2015-07-13,4.01,4.03,3.95,3.96,3.96,138100
2015-07-14,3.93,4.01,3.9,4.0,4.0,158000
2015-07-15,4.0,4.04,3.89,3.99,3.99,71600
