date,open,high,low,close,adj_close,volume
2015-01-02,126.08,127.29,125.36,125.88,106.4872,284600
2015-01-05,125.85,126.31,125.09,125.26,105.9627,364500
2015-01-06,125.7,126.57,123.85,124.66,105.4552,529800
2015-01-07,125.74,127.65,125.74,127.65,107.9846,358600
2015-01-08,129.23,130.0,128.8,129.87,109.8625,466300
2015-01-09,130.37,130.37,128.42,128.98,109.1097,336000
2015-01-12,129.88,130.3,128.6,128.92,109.0589,338800
2015-01-13,129.88,130.83,127.41,128.52,108.7205,304500
2015-01-14,127.19,128.6,126.74,128.43,108.6444,407900
2015-01-15,128.77,129.02,126.73,126.81,107.2739,295300
2015-01-16,126.72,129.35,126.69,129.21,109.3042,247600
2015-01-20,129.44,129.7,127.68,129.24,109.3296,378800
2015-01-21,129.12,129.92,128.48,129.21,109.3042,249000
2015-01-22,129.89,130.9,127.95,130.89,110.7254,283600
2015-01-23,130.72,130.91,130.16,130.39,110.3024,327900
2015-01-26,130.5,131.27,129.71,131.23,111.013,322100
2015-01-27,130.04,131.32,129.76,130.45,110.3532,350200
2015-01-28,130.99,131.12,128.35,128.51,108.712,331300
2015-01-29,128.74,129.74,127.56,129.62,109.6511,272300
2015-01-30,129.27,129.99,127.5,127.71,108.0353,232300
2015-02-02,128.13,128.36,126.04,128.22,108.4667,330600
2015-02-03,128.95,128.95,126.91,128.92,109.0589,413500
2015-02-04,127.65,128.06,126.58,127.32,107.7054,270400
2015-02-05,128.37,129.65,128.24,129.5,109.5495,351100
2015-02-06,130.0,130.16,128.17,128.54,108.7374,296500
2015-02-09,128.05,128.33,126.78,127.03,107.4601,229600
2015-02-10,127.75,129.24,127.75,129.12,109.2281,226700
2015-02-11,129.0,130.04,128.59,129.31,109.3888,221000
2015-02-12,129.92,130.13,128.82,129.9,109.8879,212800
2015-02-13,129.97,130.58,129.39,130.56,110.4462,317600
2015-02-17,130.48,131.45,130.43,131.39,111.1484,309300
2015-02-18,131.45,131.71,130.71,131.71,111.4191,262300
2015-02-19,131.5,132.11,131.47,131.9,111.5798,230400
2015-02-20,131.86,133.32,131.51,133.31,112.7726,252800
2015-02-23,133.63,134.41,133.31,133.86,113.2378,339300
2015-02-24,134.15,134.37,133.12,133.63,113.0433,240900
2015-02-25,133.59,134.2,133.07,133.87,113.2463,215600
2015-02-26,134.07,134.31,133.15,134.31,113.6185,197200
2015-02-27,134.14,134.35,133.54,133.62,113.0348,175600
2015-03-02,133.68,134.76,133.68,134.73,113.9738,245500
2015-03-03,134.41,134.49,132.89,133.71,113.111,500500
2015-03-04,133.52,134.51,132.51,134.28,113.5931,486700
2015-03-05,134.63,135.63,134.53,135.07,114.2614,241400
2015-03-06,134.49,134.49,132.39,132.66,112.2227,357500
2015-03-09,132.93,133.37,132.06,133.26,112.7303,217600
2015-03-10,132.85,132.85,131.58,132.04,111.6982,257000
2015-03-11,132.39,132.76,131.87,132.12,111.7659,189000
2015-03-12,132.6,133.71,132.4,133.71,113.111,235900
2015-03-13,133.56,134.44,132.66,133.53,112.9587,270900
2015-03-16,134.6,136.4,134.57,136.36,115.3527,286900
2015-03-17,136.16,136.3,135.16,136.08,115.1158,283800
2015-03-18,135.86,138.18,135.18,137.59,116.3932,281400
2015-03-19,137.63,138.82,137.5,138.68,117.3153,297300
2015-03-20,139.88,140.35,138.65,139.38,117.9075,349100
2015-03-23,139.16,139.48,138.31,138.86,117.4676,279800
2015-03-24,138.98,139.45,137.72,137.74,116.5201,267900
2015-03-25,137.96,138.7,134.82,134.9,114.1176,368000
2015-03-26,134.08,135.62,133.28,134.52,113.7962,293000
2015-03-27,134.74,136.15,134.69,135.76,114.8451,241200
2015-03-30,137.24,137.35,136.58,137.25,116.1056,329900
2015-03-31,136.98,137.53,135.42,135.52,114.6421,325100
2015-04-01,135.31,135.31,132.72,133.83,113.2125,392300
2015-04-02,133.9,134.55,133.54,134.12,113.4578,213600
2015-04-06,133.67,134.99,133.06,134.33,113.6355,195300
2015-04-07,134.41,135.62,134.41,134.54,113.8131,257100
2015-04-08,134.99,136.35,134.87,135.9,114.9636,247800
2015-04-09,135.99,136.94,135.6,136.79,115.7165,290400
2015-04-10,136.79,138.17,136.43,137.97,116.7147,219400
2015-04-13,137.93,138.75,137.4,137.47,116.2917,291500
2015-04-14,137.75,137.85,136.5,137.57,116.3763,197200
2015-04-15,138.2,138.5,137.63,137.88,116.6385,240400
2015-04-16,138.09,138.39,137.67,137.92,116.6724,269800
2015-04-17,137.43,137.57,135.78,136.69,115.6319,305300
2015-04-20,137.57,137.83,137.01,137.47,116.2917,169200
2015-04-21,138.44,138.77,138.18,138.47,117.1377,181400
2015-04-22,138.87,138.97,137.87,138.58,117.2307,204000
2015-04-23,138.46,139.57,137.88,139.29,117.8313,235200
2015-04-24,139.59,139.59,138.27,138.79,117.4083,179600
2015-04-27,139.6,139.6,135.75,136.0,115.0482,333800
2015-04-28,136.46,136.65,134.05,136.29,115.2935,286300
2015-04-29,135.88,136.4,134.2,135.19,114.3629,294500
2015-04-30,134.57,135.17,132.16,132.83,112.3665,422300
2015-05-01,133.74,134.84,133.56,134.64,113.8977,192500
2015-05-04,135.0,136.31,135.0,135.59,114.7013,247300
2015-05-05,135.54,135.71,133.63,133.83,113.2125,248300
2015-05-06,134.54,134.54,132.61,133.64,113.0517,228400
2015-05-07,133.5,134.7,133.08,134.34,113.6439,184600
2015-05-08,135.75,136.85,135.53,136.5,115.4711,210800
2015-05-11,136.8,137.18,136.47,136.54,115.505,171400
2015-05-12,135.88,136.25,135.08,135.96,115.0143,192600
2015-05-13,136.35,136.89,135.62,135.87,114.9382,138600
2015-05-14,136.58,137.71,135.94,137.65,116.444,154800
2015-05-15,137.95,138.08,137.5,137.96,116.7062,181900
2015-05-18,137.92,139.16,137.83,138.95,117.5437,219600
2015-05-19,139.2,139.9,138.78,139.58,118.0767,167200
